Product Code,Product Label,"UAE export to vietnam Value in 2022, USD thousands","annual growth export from uae to vietnam in value between 2018-2022, %, p.a","vietnam Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"import Value vietnam from world in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported from world to vietnam in 2022 ,Quantity unit ,Unit value (USD/unit) ,"UAE export to world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","UAE Share in world exports, % ",Quantity exported from UAE to world  in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
291732,Dioctyl orthophthalates, , , ,10, , , ,,"36,660",3,9,"24,945",Tons,"1,470",6, ,0,"2,848",Tons,"1,633",6
291733,Dinonyl or didecyl orthophthalates, , , ,10, , , ,,"14,271",9,1,"9,453",Tons,"1,510",259, ,0,"2,275",Tons,"1,826",
291734,"Esters of orthophthalic acid (excl. dioctyl, dinonyl or didecyl orthophthalates)", , , ,10, , , ,,"3,277",-5,1,"1,565",Tons,"2,094", , , ,"2,954",Tons,"1,711",
291735,Phthalic anhydride, , , ,0, , , ,,"43,361",26,5,"39,015",Tons,"1,111","3,419",-20,0,"27,438",Tons,"1,145",36
291736,Terephthalic acid and its salts, , , ,0, , , ,,"802,026",21,9,"936,828", ,856,3,-49,0,"14,509", ,840,230
291737,Dimethyl terephthalate, , , ,0, , , ,,39,349,0,14, ,"2,786","2,587", ,1, , , ,
291739,"Aromatic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their . . .", , , ,2, , , ,,"93,077",23,3,"60,836",Tons,"1,530","1,621",32,0,"9,855",Tons,"1,753",33
291811,"Lactic acid, its salts and esters (excl. inorganic or organic compounds of mercury)", , , ,0, , , ,,"3,524",5,0,"2,035", ,"1,732",6, ,0,"1,119", ,"2,695",4
291812,Tartaric acid, , , ,0, , , ,,490,5,0,150, ,"3,267",12,99,0,145, ,"4,566",
291813,Salts and esters of tartaric acid, , , ,0, , , ,,520,3,1,156, ,"3,333", , , ,58, ,"30,517",
291814,Citric acid, , , ,5, , , ,,"39,629",33,1,"24,279",Tons,"1,632","1,085",41,0,"24,302",Tons,"1,472",9
291815,Salts and esters of citric acid (excl. inorganic or organic compounds of mercury), , , ,5, , , ,,"13,976",24,1,"7,164",Tons,"1,951",55,-16,0,"3,104",Tons,"1,676",2
291816,"Gluconic acid, its salts and esters", , , ,0, , , ,,"12,780",22,3,"14,076", ,908,33,-44,0,"8,404", ,713,4
291817,"2,2-Diphenyl-2-hydroxyacetic acid ""benzilic acid""", , , , , , , ,,207,59,17,61,Tons,"3,393", , , , ,Tons, ,
291819,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and . . .", , , ,0, , , ,,"6,594",-5,0,0,Tons, ,"1,052",131,0,552,Tons,"24,730",
291821,Salicylic acid and its salts (excl. inorganic or organic compounds of mercury), , , ,0, , , ,,715,22,0,126, ,"5,675", , , ,198, ,"3,303",
291822,"o-Acetylsalicylic acid, its salts and esters", , , ,0, , , ,,250,16,0,52, ,"4,808", , , ,59, ,"4,068",
291823,"Esters of salicylic acid and their salts (excl. o-acetylsalicylic acid, its salts and esters)", , , ,0, , , ,,"1,444",5,0,429,Tons,"3,366",2,19,0,62,Tons,"12,387",
291829,"Carboxylic acids with phenol function but without other oxygen function, their anhydrides, . . .", , , ,0, , , ,,"9,374",9,1,0,Tons, ,35,335,0,"7,693",Tons,"4,232",6
291830,"Carboxylic acids with aldehyde or ketone function but without other oxygen function, their . . .", , , ,0, , , ,,"2,755",4,0,0, , ,22,1,0,0, , ,-
291891,"2,4,5-T ""ISO"" ""2,4,5-trichlorophenoxyacetic acid"", its salts and esters", , , ,0, , , ,,2, ,0,0, , , , , ,0, , ,
291899,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and . . .", , , ,0, , , ,,"3,782",12,0,0, , ,12,11,0,0, , ,
291990,"Phosphoric esters and their salts, incl. lactophosphates; their halogenated, sulphonated, nitrated . . .", , , ,3, , , ,,"24,064",22,2,"5,979",Tons,"4,025",68,-12,0,"6,634",Tons,"2,055",
292011,"Parathion ""ISO"" and parathion-methyl ""ISO"" ""methyl-parathion""", , , , , , , ,,109, ,20,3, ,"36,333", , , , , , ,
292019,"Thiophosphoric esters ""phosphorothioates"" and their salts; their halogenated, sulphonated, . . .", , , ,0, , , ,,"1,467",15,1,232, ,"6,323", , , ,57, ,"5,211",
292021,Dimethyl phosphite, , , , , , , ,,4, ,0,0, , , , , , , , ,
292029,"Phosphite esters and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives . . .", , , ,0, , , ,,"5,448",26,1,"1,526", ,"3,570",4,-67,0,"10,275", ,"3,949",
292030,"Endosulfan ""ISO""", , , , , , , ,,6,69,1,1, ,"6,000", , , , , , ,
292090,"Esters of inorganic acids of non-metals and their salts; their halogenated, sulphonated, nitrated . . .", , , ,0, , , ,,"14,915",8,1,0, , ,"1,349",119,0,313, ,"4,214",
292111,"Methylamine, dimethylamine or trimethylamine and their salts", , , ,0, , , ,,324,17,0,205, ,"1,580",252, ,0,"1,262", ,"2,132",
292119,"Acyclic monoamines and their derivatives; salts thereof (excl. methylamine, dimethylamine, . . .", , , ,0, , , ,,"6,518",-4,0,"1,674",Tons,"3,894",97,10,0,"1,288",Tons,"4,214",
292121,Ethylenediamine and its salts, , , ,0, , , ,,"7,787",19,1,"1,528",Tons,"5,096",324,-56,0,84,Tons,"4,369",58
292122,Hexamethylenediamine and its salts, , , ,0, , , ,,488,-5,0,43, ,"11,349",23,-69,0,114, ,"2,693",-
292129,"Acyclic polyamines and their derivatives; salts thereof (excl. ethylenediamine and hexamethylenediamine, . . .", , , ,0, , , ,,"5,626",19,0,"1,252", ,"4,494","5,180",31,0,"2,536", ,"5,761",15
292130,"Cyclanic, cyclenic or cycloterpenic mono- or polyamines, and their derivatives; salts thereof", , , ,0, , , ,,"1,026",-2,0,198, ,"5,182",168,29,0,"3,018", ,"5,987",-
292141,Aniline and its salts (excl. inorganic or organic compounds of mercury), , , ,0, , , ,,495,12,0,5, ,"99,000",450,-28,0,6, ,"30,500",
292142,Aniline derivatives and their salts, , , ,0, , , ,,"11,773",-8,2,"5,657", ,"2,081",212, ,0,"45,148", ,"2,206",6
292143,Toluidines and their derivatives; salts thereof, , , ,0, , , ,,31,40,0,2, ,"15,500", , , ,69, ,"6,101",
292144,Diphenylamine and its derivatives; salts thereof, , , ,0, , , ,,137,-8,0,24, ,"5,708", , , ,30, ,"5,033",
292145,"1-Naphthylamine ""alpha-naphthylamine"", 2-naphthylamine ""beta-naphthylamine"" and their derivatives; . . .", , , ,0, , , ,,1,-59,0,0, , , , , ,40, ,"13,425",
292149,"Aromatic monoamines and derivatives; salts thereof (excl. aniline, toluidines, diphenylamine, . . .", , , ,0, , , ,,"1,219",-7,0,60, ,"20,317",2,160,0,141, ,"5,234",1
292151,"o-Phenylenediamine, m-phenylenediamine, p-phenylenediamine or diaminotoluenes and their derivatives; . . .", , , ,0, , , ,,"35,361",38,2,"6,688", ,"5,287",286,90,0,754, ,"5,634",
292159,"Aromatic polyamines and their derivatives; salts thereof (excl. o-phenylenediamine, m-phenylenediamine, . . .", , , ,0, , , ,,"1,805",7,0,267,Tons,"6,760",208,-34,0,535,Tons,"5,366",-
292211,Monoethanolamine and its salts, , , ,3, , , ,,"2,550",15,0,"1,325",Tons,"1,925","11,434",43,2,460,Tons,"2,196",27
292212,Diethanolamine and its salts, , , ,3, , , ,,781,7,0,580, ,"1,347","5,330",23,2,303, ,"1,505",14
292215,Triethanolamine, , , ,3, , , ,,"4,872",3,2,"3,870", ,"1,259","9,397",22,3,41, ,"1,659",
292217,Methyldiethanolamine and ethyldiethanolamine, , , , , , , ,, , , , , , ,"1,918",-4,2,"9,112", ,"1,879",
292218,"2-""N,N-Diisopropylamino""ethanol", , , , , , , ,, , , , , , ,182,976,47, , , ,
292219,"Amino-alcohols, their ethers and esters; salts thereof (other than those containing > one kind . . .", , , ,2, , , ,,"26,179",6,1,"15,435",Tons,"1,696",221,12,0,"5,890",Tons,"3,388",
292221,Aminohydroxynaphthalenesulphonic acids and their salts, , , ,3, , , ,,300,86,0,32, ,"9,375", , , ,310, ,"4,555",-
292229,"Amino-naphthols and other amino-phenols, their ethers and esters; salts thereof (excl. those . . .", , , ,3, , , ,,"4,305",21,0,0, , , , , ,831, ,"8,125",-
292231,"Amfepramone ""INN"", methadone ""INN"" and normethadone ""INN"", and salts thereof", , , , , , , ,,692,7,7,2, ,"346,000", , , , , , ,
292239,"Amino-aldehydes, amino-ketones and amino-quinones; salts thereof (excl. those containing > . . .", , , ,3, , , ,,47,-28,0,0, , ,3,48,0,8, ,"76,375",
292241,Lysine and its esters; salts thereof, , , ,0, , , ,,"82,514",14,3,"60,436",Tons,"1,365",53,29,0,"6,053",Tons,"1,613",69
292242,Glutamic acid and its salts, , , ,17, , , ,,"173,820",12,8,"126,210",Tons,"1,377",76,69,0,"7,521",Tons,"1,758",24
292243,Anthranilic acid and its salts, , , , , , , ,, , , , , , ,5, ,0, , , ,
292249,"Amino-acids and their esters; salts thereof (excl. those with > one kind of oxygen function, . . .", , , ,0, , , ,,"33,472",13,1,0,Tons, ,478,13,0,"3,052",Tons,"6,903",12
292250,"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function (excl. . . .", , , ,0, , , ,,"43,736",19,1,"26,652",Tons,"1,641",504,107,0,"1,995",Tons,"5,459",10
292310,Choline and its salts, , , ,0, , , ,,"13,397",6,3,"6,925",Tons,"1,935",12, ,0,598,Tons,"1,363",27
292320,"Lecithins and other phosphoaminolipids, whether or not chemically defined", , , ,2, , , ,,"36,840",14,2,"29,166",Tons,"1,263",238,41,0,"3,989",Tons,"2,421",46
292330,Tetraethylammonium perfluorooctane sulphonate, , , , , , , ,, , , , , , ,8,245,1, , , ,
292390,"Quaternary ammonium salts and hydroxides (excl. choline and its salts, tetraethylammonium perfluorooctane . . .", , , ,0, , , ,,"9,894",2,1,"4,294",Tons,"2,304",636,16,0,830,Tons,"5,590",
292419,"Acyclic amides, incl. acyclic carbamates, and their derivatives, and salts thereof (excl. meprobamate . . .", , , ,0, , , ,,"54,834",26,2,"27,119",Tons,"2,022",675,60,0,"7,630",Tons,"3,082",
292421,Ureines and their derivatives; salts thereof, , , ,0, , , ,,998,12,0,385, ,"2,592",85, ,0,10, ,"56,300",
292429,"Cyclic amides, incl. cyclic carbamates, and their derivatives; salts thereof (excl. ureines . . .", , , ,3, , , ,,"76,642",12,1,"10,080",Tons,"7,603",29,-8,0,"2,342",Tons,"14,700",
292511,Saccharin and its salts, , , ,10, , , ,,"2,158",1,1,287, ,"7,519",102,-12,0,53, ,"9,755",
292519,"Imides and their derivatives; salts thereof (excl. saccharin and its salts, glutethimide [INN] . . .", , , ,0, , , ,,"1,386",11,0,148, ,"9,365", , , ,"1,025", ,"2,445",1
292529,Imines and their derivatives; salts thereof (excl. chlordimeform [ISO]), , , ,0, , , ,,"9,367",22,0,"1,628", ,"5,754",179,143,0,"1,305", ,"6,752",
292610,Acrylonitrile, , , ,0, , , ,,257,-13,0,85, ,"3,024", , , ,"6,704", ,"1,744",
292620,"1-Cyanoguanidine ""dicyandiamide""", , , ,0, , , ,,"2,517",28,1,707, ,"3,560", , , ,159, ,"4,730",
292690,"Nitrile-function compounds (excl. acrylonitrile, 1-cyanoguanidine ""dicyandiamide"", fenproporex . . .", , , ,0, , , ,,"11,978",0,0,887,Tons,"13,504",238,-58,0,404,Tons,"15,458",
292700,"Diazo-, azo- or azoxy-compounds", , , ,0, , , ,,"22,318",2,3,"5,985",Tons,"3,729",675,676,0,"3,096",Tons,"3,475",11
292800,Organic derivatives of hydrazine or of hydroxylamine, , , ,0, , , ,,"3,500",-7,0,422, ,"8,294",680,20,0,"1,100", ,"5,400",1
292910,Isocyanates, , , ,2, , , ,,"214,335",2,3,"76,106",Tons,"2,816","11,904",-15,0,"24,933",Tons,"2,708","1,325"
292990,Compounds with nitrogen function (excl. amine-function compounds; oxygen-function amino-compounds; . . ., , , ,3, , , ,,"3,319",-6,0,974,Tons,"3,408",127,43,0,103,Tons,"7,485",
293020,Thiocarbamates and dithiocarbamates (excl. inorganic or organic compounds of mercury), , , ,0, , , ,,"5,987",13,1,"1,262",Tons,"4,744",57, ,0,439,Tons,"4,235",
293030,"Thiuram mono-, di- or tetrasulphides", , , ,0, , , ,,"1,629",10,2,620, ,"2,627", , , ,77, ,"2,792",
293040,Methionine, , , ,0, , , ,,"41,627",21,2,"16,234",Tons,"2,564",24,436,0,"12,669",Tons,"2,817",224
293070,Bis(2-hydroxyethyl)sulfide (thiodiglycol (INN)), , , , , , , ,,24, ,1,1, ,"24,000", , , , , , ,
293090,"Organo-sulphur compounds (excl. thiocarbamates and dithiocarbamates, thiuram mono-, di- or . . .", , , ,0, , , ,,"110,946",19,1,"24,183",Tons,"4,588","8,094",-10,0,"18,667",Tons,"2,752",
293110,Tetramethyl lead and tetraethyl lead, , , ,0, , , ,,216,"1,095",1,56,Tons,"3,857", , , ,57,Tons,"2,614",
293131,Dimethyl methylphosphonate, , , ,0, , , ,,1, ,0,1, ,"1,000",28, ,0,1, ,"15,000",
293134,Sodium 3-(trihydroxysilyl)propyl methylphosphonate, , , ,0, , , ,,"28,518", ,1,"1,953", ,"14,602",177, ,0,"5,423", ,"1,842",
293138,Salt of methylphosphonic acid and (aminoiminomethyl)urea (1 : 1), , , , , , , ,, , , , , , ,1, ,0, , , ,
293139,"Separate chemically defined organo-phosphorous derivatives, n.e.s.", , , ,0, , , ,,"17,705",-11,0,"1,326", ,"13,352",31,-41,0,"2,295", ,"1,917",
293190,"Separate chemically defined organo-inorganic compounds (excl. organo-sulphur, mercury, tetramethyl . . .", , , ,0, , , ,,"44,944",17,1,"4,046",Tons,"11,108","1,817",34,0,"12,126",Tons,"5,120",
293211,Tetrahydrofuran, , , ,0, , , ,,"22,119",135,3,"5,055",Tons,"4,376","8,273",42,1,"2,667",Tons,"4,783",371
293212,"2-Furaldehyde ""furfuraldehyde""", , , ,0, , , ,,881,5,1,376, ,"2,343",423,11,0,20, ,"2,600",
293213,Furfuryl alcohol and tetrahydrofurfuryl alcohol, , , ,0, , , ,,110,-49,0,2, ,"55,000",48,-40,0,345, ,"2,806",
293214,Sucralose, , , ,0, , , ,,"4,911",20,1,161, ,"30,503", , , ,22, ,"45,045",
293219,"Heterocyclic compounds with oxygen hetero-atom[s] only, containing an unfused furan ring, whether . . .", , , ,0, , , ,,"3,318",24,0,141, ,"23,532",7,-30,0,38, ,"45,237",
293220,Lactones, , , ,0, , , ,,"29,135",6,1,"1,518",No quantity,"19,193",5,-44,0,592,No quantity,"20,155",4
293293,Piperonal, , , ,0, , , ,,5,116,0,0, , , , , ,1, ,"24,000",
293295,"Tetrahydrocannabinols ""all isomers""", , , , , , , ,,10, ,0,0, , , , , , , , ,
293299,Heterocyclic compounds with oxygen hetero-atom[s] only (excl. compounds containing unfused . . ., , , ,0, , , ,,"36,123",1,1,0,Tons, ,707,9,0,"1,183",Tons,"27,844",44
293311,"Phenazone ""antipyrin"" and its derivatives", , , ,0, , , ,,32,15,0,3, ,"10,667", , , ,4, ,"53,250",
293319,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyrazole ring, . . .", , , ,0, , , ,,"5,027",-27,0,213,Tons,"23,601", , , ,118,Tons,"61,771",
293321,Hydantoin and its derivatives, , , ,0, , , ,,"2,531",18,2,"1,189",Tons,"2,129",1, ,0,32,Tons,"5,563",
293329,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused imidazole ring, . . .", , , ,0, , , ,,"12,620",15,1,463,Tons,"27,257",797,76,0,0,Tons, ,
293331,Pyridine and its salts, , , ,0, , , ,,648,22,0,43, ,"15,070",66,-1,0,1, ,"21,000",
293332,Piperidine and its salts, , , ,0, , , ,,120,103,0,5, ,"24,000", , , ,1, ,"466,000",
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, . . .", , , ,0, , , ,,"33,089",-20,0,"1,178",Tons,"28,089","1,657",105,0,0,Tons, ,
293349,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing in the structure a quinoline . . .", , , ,0, , , ,,"6,072",16,0,314,Tons,"19,338",750, ,0,137,Tons,"38,978",
293352,"Malonylurea ""barbituric acid"" and its salts", , , , , , , ,,4,-16,0,0, , , , , , , , ,
293353,"Allobarbital ""INN"", amobarbital ""INN"", barbital ""INN"", butalbital ""INN"", butobarbital ""INN"", . . .", , , ,0, , , ,,139,-23,0,3, ,"46,333", , , ,0, , ,
293354,"Derivatives of malonylurea ""barbituric acid"" and salts thereof (excl. salts of malonylurea)", , , , , , , ,,2,-3,0,0, , , , , , , , ,
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether . . .", , , ,0, , , ,,"44,736",6,0,"1,281",Tons,"34,923","2,408",-15,0,279,Tons,"49,143",
293361,Melamine, , , ,0, , , ,,"41,621",15,2,"30,220", ,"1,377","1,523",-32,0,639, ,"1,354",
293369,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused triazine ring, . . .", , , ,0, , , ,,"30,940",7,1,"9,373",Tons,"3,301","1,869",34,0,"4,168",Tons,"3,138",
293371,"6-Hexanelactam ""epsilon-caprolactam""", , , , , , , ,,"45,229",-3,2,"23,728", ,"1,906", , , , , , ,
293379,"Lactams (excl. 6-hexanelactam ""epsilon-caprolactam"", clobazam ""INN"", methyprylon ""INN"", and . . .", , , ,0, , , ,,"12,415",27,0,"1,287",Tons,"9,646",23,-20,0,137,Tons,"23,818",
293391,"Alprazolam ""INN"", camazepam ""INN"", chlordiazepoxide ""INN"", clonazepam ""INN"", clorazepate, delorazepam . . .", , , ,0, , , ,,"1,076",80,1,0, , , , , ,0, , ,
293399,Heterocyclic compounds with nitrogen hetero-atom[s] only (excl. those containing an unfused . . ., , , ,0, , , ,,"70,853",10,0,"5,596",Tons,"12,661","3,120",21,0,960,Tons,"37,469",
293410,"Heterocyclic compounds containing an unfused thiazole ring, whether or not hydrogenated, in . . .", , , ,0, , , ,,"9,209",8,0,"1,127",Tons,"8,171",34,183,0,310,Tons,"5,584",
293420,"Heterocyclic compounds containing in the structure a benzothiazole ring-system, whether or . . .", , , ,0, , , ,,"21,125",16,3,"5,355", ,"3,945", , , ,604, ,"9,101",
293430,"Heterocyclic compounds containing in the structure a phenothiazine ring-system, whether or . . .", , , ,0, , , ,,742,-9,1,3, ,"247,333",1,-70,0,0, , ,
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. . . .", , , ,4, , , ,,"92,380",15,0,"4,168",Tons,"22,164","2,007",110,0,"1,272",Tons,"38,868",
293550,"Perfluorooctane sulphonamides (excl. N-Methylperfluorooctane sulphonamide, N-Ethylperfluorooctane . . .", , , , , , , ,, , , , , , ,19, ,1, , , ,
293590,Sulphonamides (excl. perfluorooctane sulphonamides), , , ,0, , , ,,"24,620",14,0,"1,076", ,"22,881",207,15,0,165, ,"50,085",
293621,"Vitamins A and their derivatives, used primarily as vitamins", , , ,0, , , ,,"14,587",-3,2,365,Tons,"39,964", , , ,119,Tons,"61,798",8
293622,"Vitamin B1 and its derivatives, used primarily as vitamins", , , ,0, , , ,,"6,589",-4,2,272,Tons,"24,224",2, ,0,88,Tons,"31,057",
293623,"Vitamin B2 and its derivatives, used primarily as vitamins", , , ,0, , , ,,"4,071",-21,2,216,Tons,"18,847", , , ,19,Tons,"27,105",
293624,"D-Pantothenic or DL-pantothenic acid ""Vitamin B3 or B5"" and their derivatives, used primarily . . .", , , ,0, , , ,,"9,759",-3,2,386,Tons,"25,282",1,15,0,94,Tons,"16,330",
293625,"Vitamin B6 and its derivatives, used primarily as vitamins", , , ,0, , , ,,"4,825",-12,2,238,Tons,"20,273", , , ,38,Tons,"21,289",
293626,"Vitamin B12 and its derivatives, used primarily as vitamins", , , ,0, , , ,,"1,253",-12,0,10,Tons,"125,300",129,77,0,118,Tons,"5,424",2
293627,"Vitamin C and its derivatives, used primarily as vitamins", , , ,0, , , ,,"18,621",5,1,"4,568",Tons,"4,076",507,66,0,942,Tons,"5,941",9
293628,"Vitamin E and its derivatives, used primarily as vitamins", , , ,0, , , ,,"33,415",22,1,"3,148",Tons,"10,615",1,-73,0,256,Tons,"12,777",
293629,"Vitamins and their derivatives, used primarily as vitamins, unmixed (excl. vitamins A, B1, . . .", , , ,0, , , ,,"47,989",-4,3,"2,561",Tons,"18,738",188,2,0,654,Tons,"23,977",94
293690,"Provitamins and mixtures of vitamins, of provitamins or of concentrates, whether or not in . . .", , , ,0, , , ,,"21,584",9,2,0,No quantity, ,126,-40,0,684,No quantity,"25,668",49
293712,"Insulin and its salts, used primarily as hormones", , , ,0, , , ,,6,126,0,0, , ,"3,480",62,0,0, , ,
293719,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural . . .", , , ,0, , , ,,249,13,0,0, , , , , ,72, ,"31,889",
293721,"Cortisone, hydrocortisone, prednisone ""dehydrocortisone"" and prednisolone ""dehydrohydrocortisone""", , , ,0, , , ,,"3,104",-2,1,7,No quantity,"443,429", , , ,1,No quantity,"823,000",
293722,Halogenated derivatives of corticosteroidal hormones, , , ,0, , , ,,"3,074",12,0,3,Tons,"1,024,667",203,19,0,2,Tons,"1,034,000",1
293723,Oestrogens and progestogens, , , ,0, , , ,,329,-21,0,1, ,"329,000",6,380,0,6, ,"264,667",
293729,"Steroidal hormones, their derivatives and structural analogues, used primarily as hormones . . .", , , ,0, , , ,,"14,817",27,1,14, ,"1,058,357",2,-60,0,2, ,"1,691,500",
293750,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues, . . .", , , ,0, , , ,,628,-4,0,0, , , , , ,0, , ,
293790,"Hormones, natural or reproduced by synthesis; derivatives and structural analogues thereof, . . .", , , ,0, , , ,,437,54,0,2, ,"218,500", , , ,0, , ,
293810,"Rutoside ""rutin"" and its derivatives", , , , , , , ,,"1,912",13,1,39,Tons,"49,026", , , , ,Tons, ,
293890,"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other derivatives . . .", , , ,3, , , ,,"5,230",-1,0,81,Tons,"64,568", , , ,79,Tons,"25,532",
293911,"Concentrates of poppy straw; buprenorphine ""INN"", codeine, dihydrocodeine ""INN"", ethylmorphine, . . .", , , ,0, , , ,,"2,883",-3,1,6, ,"480,500", , , ,0, , ,
293919,"Alkaloids of opium and their derivatives, and salts thereof (excl. concentrates of poppy straw; . . .", , , ,0, , , ,,51,-23,0,0, , , , , ,0, , ,
293920,Alkaloids of cinchona and their derivatives; salts thereof, , , ,0, , , ,,25,-19,0,1, ,"25,000", , , ,19, ,"29,316",
293930,Caffeine and its salts, , , ,0, , , ,,"18,474",40,3,"1,070",Tons,"17,265", , , ,162,Tons,"18,716",
293949,"Alkaloids of ephedra and their derivatives; salts thereof (excl. ephedrine, pseudoephedrine . . .", , , , , , , ,,1,-34,0,0, , , , , , , , ,
293959,"Theophylline and aminophylline ""theophylline-ethylenediamine"" and their derivatives, and salts . . .", , , ,0, , , ,,152,-15,0,7, ,"21,714",18, ,0,20, ,"31,600",
293969,"Alkaloids of rye ergot and their derivatives; salts thereof (excl. lysergic acid, ergotamine . . .", , , ,0, , , ,,179,-9,0,0, , , , , ,0, , ,
293979,"Vegetal alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and . . .", , , ,0, , , ,,"1,235",-4,0,1, ,"1,235,000",614,42,0,5, ,"497,000",
293980,"Non-vegetal alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters . . .", , , ,0, , , ,,765,15,1,9, ,"85,000",2,-29,0,2, ,"142,000",
294000,"Sugars, chemically pure (excl. sucrose, lactose, maltose, glucose and fructose); sugar ethers, . . .", , , ,3, , , ,,"15,874",23,1,0,No quantity, ,38,125,0,479,No quantity,"4,023",9
294110,Penicillins and their derivatives with a penicillanic acid structure; salts thereof, , , ,6, , , ,,"60,051",6,3,"1,682",Tons,"35,702",71,-3,0,295,Tons,"37,661",2
294120,Streptomycins and their derivatives; salts thereof, , , ,0, , , ,,"1,095",-14,2,45, ,"24,333", , , ,3, ,"32,667",
294130,Tetracyclines and their derivatives; salts thereof, , , ,0, , , ,,"29,011",9,3,916, ,"31,671", , , ,117, ,"44,222",
294140,Chloramphenicol and its derivatives; salts thereof, , , ,0, , , ,,"16,453",11,7,264, ,"62,322", , , ,55, ,"62,945",
294150,Erythromycin and its derivatives; salts thereof, , , ,0, , , ,,"8,476",-1,2,91, ,"93,143", , , ,30, ,"90,767",7
294190,"Antibiotics (excl. penicillins and their derivatives with a penicillanic acid structure, salts . . .", , , ,0, , , ,,"164,648",7,2,"1,994",Tons,"82,572","1,515",29,0,536,Tons,"84,451",173
294200,"Separate chemically defined organic compounds, n.e.s.", , , ,3, , , ,,"25,670",10,2,"7,779",Tons,"3,300",259,14,0,"1,216",Tons,"32,675",84
300120,"Extracts of glands or other organs or of their secretions, for organo-therapeutic uses", , , ,0, , , ,,"2,236",19,1,38,Tons,"58,842",2,-67,0,7,Tons,"67,000",
300190,"Dried glands and other organs for organo-therapeutic uses, whether or not powdered; heparin . . .", , , ,0, , , ,,"2,912",-38,0,0,Tons, ,27,-6,0,9,Tons,"1,453,889",
300211,Malaria diagnostic test kits, , , ,0, , , ,,225,25,0,1, ,"225,000",7,43,0,38, ,"25,421",
300212,Antisera and other blood fractions, , , ,0, , , ,,"60,047",9,0,"8,643",No quantity,"6,947",159,4,0,123,No quantity,"371,927",
300213,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail . . .", , , ,0, , , ,,"11,799",264,0,0,No quantity, ,243,69,0,99,No quantity,"59,384",
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail . . .", , , ,0, , , ,,"33,443",388,0,0,No quantity, ,"1,400",67,0,290,No quantity,"59,752",
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. . . .", , , ,0, , , ,,"406,211",35,0,0,No quantity, ,"5,902",18,0,"2,423",No quantity,"269,984",
300219,"Immunological products, n.e.s. (code possibly empty, preceding subheadings seem exhaustive)", , , , , , , ,, , , , , , ,8,-8,0, , , ,
300220,Vaccines for human medicine, , , ,0, , , ,,"646,300",83,1,631,Tons,"1,024,247","38,024",266,0,346,Tons,"423,113",
300230,Vaccines for veterinary medicine, , , ,0, , , ,,"68,836",0,2,901,Tons,"76,400",107,-15,0,128,Tons,"74,695","1,108"
300290,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses", , , ,0, , , ,,"79,199",31,1,"1,034",Tons,"76,595","1,467",46,0,206,Tons,"667,296",
300310,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, . . .", , , ,5, , , ,,"3,900",15,1,67,Tons,"58,209", , , ,65,Tons,"59,877",3
300320,"Medicaments containing antibiotics, not in measured doses or put up for retail sale (excl. . . .", , , ,0, , , ,,"16,409",-11,1,"2,110",Tons,"7,777",7,-82,0,685,Tons,"11,940",46
300331,"Medicaments containing insulin, not in measured doses or put up for retail sale", , , , , , , ,, , , , , , ,41, ,0,0, , ,
300339,"Medicaments containing hormones or steroids used as hormones, not containing antibiotics, not . . .", , , ,0, , , ,,125,-45,0,6,Tons,"20,833",25,-26,0,47,Tons,"14,021",1
300341,"Medicaments containing ephedrine or its salts, not containing hormones, steroids used as hormones . . .", , , , , , , ,,19, ,0,0, , , , , , , , ,
