company name,contact number,area,product category 1,product category 2
"Pasamanerías y Bordados, S.A. de C.V., P y B",tel:+52 55 56663690,Tlalpan - Mexico,"Embroidery, machine-made","Monograms, badges and emblems, textile, machine embroidered"
"Corex SA de CV, COREX",tel:+52 5554815700,Mexico city - Mexico,"Cane, wicker, straw and rush products",Small articles made of various grasses
Navami Tecnologia S.A. de C.V.,tel:+52 4771670038,León - Mexico,Information technology (IT) auditing and consulting services,Computer hardware consultants
"Proveedora Térmica del Norte, S.A. de C.V., PROVEEDORA TÉRMICA",tel:+52 8181257300,San nicolás de los garza - Mexico,"Heat exchangers, by use","Heat exchangers, heating and ventilation"
"Aditivos y Recubrimientos Técnicos SA de CV, ARTEC",tel:+52 06144810302,Chihuahua - Mexico,Ceramic flooring tiles,"Floorings, ceramic, corrosion resistant, for the chemical, food and brewery industries"
"María del Carmen Escamilla Caballero, S.T.I. (SERVICIOS TECNICOS INTEGRALES)",tel:+52 8122306660,San nicolás de los garza - Mexico,Plastic products for the mechanical engineering industry,"Bushes, plastic, for mechanical engineering"
Nuctech (Nuctech),tel:+52 5595965555,Ciudad de méxico - Mexico,Metal detectors,Spectrometers
"Grupo Compotel SA de CV, Grupo Compotel (Roberto Fernando Palancares Medina)",tel:+52 4422260321,Santiago de querétaro - Mexico,Information technology (IT) outsourcing services,Information technology (IT) installation management services
"Azinsa Aluminio SAPI de C.V., Azinsa Aluminio",tel:+52 5565810105,Tlalnepantla - Mexico,Chemicals for the basic metal industries,Fluxes for aluminium and aluminium alloys
"Marketing 4U, Marketing 4U",tel:+52 5554361706,Miguel hidalgo - Mexico,Marketing and merchandising services,Internet marketing services
"Corporativo Integral Orizon, Orizon CI  (Empresa hecha 100% por sus colaboradores )",tel:+52 5570840845,Miguel hidalgo - Mexico,Project management services,Complex project management services
"Shipping Solutions de México, Shpping",tel:+52 55 86884443,Atizapán de zaragoza - Mexico,"Timber, wooden products, machinery and equipment for the woodworking industry","Packagings, wooden, storage and transportation"
"Suajes La Hormiga, S.A., SUAJES (LA HORMIGA)",tel:+52 53521803,Azcapotzalco - Mexico,"Cutting, cutting-off and sawing tools",Die cutters for leather and cardboard
Envases Visapack,tel:+52 53105295,Tlalnepantla - Mexico,Plastic packagings,"Packagings, polyurethane (PU)"
"Geofersan SA de CV, Distribuidor Farmaéutico (Javier Mora)",tel:+52 33 31621325,Guadalajara - Mexico,Wholesale trade,Chemicals and pharmaceuticals (wholesale)
"Jorge Luis Domínguez Hernández, GDL Garage",tel:+52 36304029,Guadalajara - Mexico,Anti-theft systems,"Anti-theft alarm systems, acoustic, for vehicles"
Coryseg (Puertas Industriales),tel:+52 4767435850,San francisco del rincon - Mexico,"Accident prevention devices and equipment, industrial",Safety and protective doors and windows
"Sudasa Suministros y Derivados Industriales, S.A. de C.V., SUDASA",tel:+52 24741904,Ecatepec - Mexico,"Metal painting, lacquering, varnishing machinery and equipment","Paint spraying equipment, do-it-yourself (DIY), electrically and battery powered"
"Trailers, Trucks, Accesories and Parts S de RL de CV, Fleetcargo",tel:+52 5565784049,Cuautitlan izcalli - Mexico,After sales services,
Comunicación Inteligente,tel:+52 38267927,Guadalajara - Mexico,Equipment for telephone networks,Telephone switchgear and accessories
"T & A Forwarding México, S.A. de C.V., T&A",tel:+52 4422370123,Santiago de querétaro - Mexico,Auxiliary trade activities,Confirming houses
"Inoxidable y Servicios JR SA de CV, INOXSA",tel:+52 6677184040,Culiacan - Mexico,"Refined, special and tool steels",Stainless steel
"Distribuidora de Trapo Industrial SA de CV, DISTRAPOS",tel:+52 4422645257,Queretaro - Mexico,"Installation and maintenance services, for metal building equipment",Repair and maintenance services for industrial doors
"Sapilogistics, S.A. de C.V.",tel:+52 8110669521,Monterrey - Mexico,Plastic packagings,Export consultants and services
"Proyectos Construcción Andamios Cimbra Vigueta y Bovedilla Peritajes Ing. Civil, Pro Construcción Andamios Cimbras Peritajes (Proyectos y Construcción Peritajes Cimbra Andamios)",tel:+52 4495539786,Aguascalientes - Mexico,"Scaffolding and ladders, metal",Scaffolding for slaters
"Remolques y Oficinas Mexicanas S. de R. L. de C. V., ROMEX (Oficinas Móviles)",tel:+52 4132300,Saltillo - Mexico,Prefabricated metal buildings,"Offices, mobile, metal, container type"
"Nanocorp, S.P.A., NANOCORP SPA",tel:+52 982194226,Santiago - Mexico,"Research, general",Nanotechnology research and development
"Servicios de Información Integral, SIISA (Supervisor)",tel:+52 5541893869,Queretaro - Mexico,Wires and cables for telecommunications and electronics,"Conductors, stranded, for telecommunications and electronics"
MB Konsulter Estratégico S.C.,tel:+52 3310748906,Tlaquepaque - Mexico,Thematic information and documentation services,Legal documentation services
Impresos Monterrey,tel:+52 8183440571,Monterrey - Mexico,Offset printing presses,"Printing presses, offset, LED-UV drying system"
"Tennant Ventas y Servicios, Tennant México",tel:+52 4499682832,Jesús maría - Mexico,Industrial cleaning machinery and equipment NES,Installation and maintenance services for the catering industry
"Montacargas y Gruas Industriales, S.A. de C.V., MONTACARGAS Y GRUAS INDUSTRIALES",tel:+52 553967115,Azcapotzalco - Mexico,Hoists,
"General Programics de Mexico SA de CV, GP México (e control)",tel:+52 6642002182,Tijuana - Mexico,"Industrial robot components, automated equipment accessories",
"Metalsur Mexicana, S.A. de C.V., METALSUR",tel:+52 9381195625,Tila - Mexico,Building contractors,
"COSETA Purificación y Tratamiento de Agua, COSETA (Purificacióny Tratamiento de Agua)",tel:+52 444 390 8414,San luis potosi - Mexico,Inorganic chemicals NES,Distilled water and deionised water
"Alexander Eyewear S de R.L. de C.V., Alexander Eyewear",tel:+52 6642087918,Tijuana - Mexico,Spectacles and spectacle frames,
"Aparatos Ortopédicos AVICER, AVICER",tel:+52 71587648,Nuevo coyoacán - Mexico,Orthopaedic equipment,
"Durango Adventours, DGO Adventours",tel:+52 6181951094,Nuevo durango - Mexico,Hotel reservation and booking services,Retail trade
"Dariusz Wrobel, DW Consulting",tel:+52 2411956346,Yauhquemehcan - Mexico,Business management consultants,Quality management consultants
"Coyote Tours VIP, Coyote Tours (VIP)",tel:+52 6181951094,Durango - Mexico,"Hospitality, tourism, hotel and catering industries","Travel agents, tour operators"
"Compresores y Maquinaria S.A. de C.V., CYMAQ",tel:+52 81 5000 5300,San nicolás de los garza - Mexico,Compressors,"Compressors, low pressure"
"Air Water Supply S de RL de CV, AWS (Carlos Barajas)",tel:+52 6863044149,Mexicali - Mexico,Fire-fighting equipment NES,Fire prevention and extinguishing systems to customer specification
"Alcoholera de Zapopan, S.A. de C.V., AZ (MIGUEL ANGEL ENRIQUEZ)",tel:+52 5527568623,Zapopan - Mexico,Alcoholic spirits,Alcohol for alcoholic spirits
Súper Gráfico,tel:+52 5528473102,Nuevo coyoacán - Mexico,Advertisement and artwork services,"Graphic design services, visual brand identity"
"SFS Group Fastening Technology México S.A. de C.V., GESIPA MEXICO",tel:+52 4423251465,El marqués - Mexico,Hydro-pneumatic and oleopneumatic equipment,"Riveting machines, hydro-pneumatic"
"Imse Refrigeración, IMSE",tel:+52 5576764563,Ecatepec de morelos - Mexico,"District heating, cooling, steam and compressed air supply services","Pumps, by use"
"Corporativo Jurídico La Solución en Nuestras Manos, S.A. de C.V.",tel:+52 8717169758,Zacatecas - Mexico,Patent and trade mark agents,Patent lawyers
"Unidekor México, Unideko",tel:+52 5583985717,Naucalpan de juárez - Mexico,Linoleum,Linoleum for household flooring
Cynthia Guadalupe Gutierrez Castello,tel:+52 6421147936,Navojoa - Mexico,Cheese,"Cheese, whey"
"Cacaos Finos Ecuatorianos, S.A., CAFIESA",tel:+52 5512649439,Gustavo a. madero - Mexico,Cocoa and chocolate products,Chocolate liquor
"Constructora Maproi S.A. de C.V., MAPROI",tel:+52 4491583065,Aguascalientes - Mexico,Information technology (IT) outsourcing services,Information technology (IT) network management services
"Unicel JeanCrist, JC",tel:+52 7225493818,Toluca - Mexico,Laminated plastics,"Laminates, polyester"
"CBM Bandas Industriales Americanas y Europeas, CBM BANDAS",tel:+52 5552336128,Venustiano carranza - Mexico,"Textile spinning, twisting, winding and reeling machinery components and accessories","Spindle bands and tapes, textile spinning"
Construcción Frigorífica,tel:+52 222 6872667,Puebla - Mexico,"Refrigeration plant and equipment, industrial","Cold storage rooms, retailers'"
Inoxidables Atizapan (JUANA QUIJANO),tel:+52 5558169492,Adolfo lópez mateos - Mexico,"Furniture, domestic","Furniture, domestic, metal"
"Herramientas de Carburo, hcarburo (Herramientas Ochoa)",tel:+52 55 46349744,Xalapa de enríquez - Mexico,"Tools, jigs and fixtures for woodworking machinery","Tools, metal carbide, woodworking machines"
Lohman Technology,tel:+52 5535666513,Naucalpan de juárez - Mexico,"Water, sewage and industrial effluent treatment plant and equipment","Sedimentation tanks, effluent treatment"
Sur.Seal México,tel:+52 8671295730,San pedro garza garcia - Mexico,"Ventilation, air conditioning (VAC) plants",
"Enlaces Logísticos Integrados, SA de CV, ELI LOGISTIX",tel:+52 8183708477,Los altos - Mexico,Truck/lorry trailers,"Trailers or semi-trailers, pole extensible"
"Automotriz Coacalco Vallejo, Sapi de CV, NISSAN COALCO (Armando Robles Rodríguez)",tel:+52 5527665033,Coacalco - Mexico,Internal combustion engines,"Internal combustion engines for motor cars, trucks/lorries and buses"
"Abastecimientos y Servicios Electrónicos Profesionales S.A. de C.V., ASEPSA (Luzars)",tel:+52 4423850756,San antonio de la huerta - Mexico,"Furnaces, kilns, ovens, for metal smelting and melting","Furnaces, induction, smelting"
Industria Trece Focos,tel:+52 6561703555,Ciudad juárez - Mexico,Plastic and rubber waste collection and recycling services,Recycling services for thermosetting plastic waste
"Compañía en Instalaciones Especializadas e Ingeniería de México Coem S.A., COEM DE MÉXICO",tel:+52 7227065931,Metepec - Mexico,Fire-fighting equipment NES,Fire prevention and extinguishing systems to customer specification
"NH Trade Logistic, S.A. de C.V., NH",tel:+52 55 10882346,Estado de méxico - Mexico,Logistics services,
"Urbanizaciones y Edificaciones Romel, SA de CV, Urber Construcciones",tel:+52 4493924270,Aguascalientes - Mexico,Transport infrastructure engineering contractors,
"TSE Services, S.A. de C.V., TSE (El Bomberito)",tel:+52 4422153863,Santiago de queretaro - Mexico,Fire extinguishers and fire extinguishing systems,"Fire extinguishers, portable, water"
LAVA Studios,tel:+52 2510722,Mexicali - Mexico,Services for the film and video industry,Video editing services
Lorena Jaquelina Mayoral Zuloaga (Catalogomedicomx.com),tel:+52 6621070381,Hermosillo - Mexico,"Tables, hospital and medical","Couches, hospital consulting room"
Birras del Mundo México (Misael Díaz),tel:+52 3221256312,Puerto vallarta - Mexico,Beers,Pils
"Digicorp México, Digicorp",tel:+52 2222760124,Puebla - Mexico,Telephone accessories,"Voice announcer systems, digital"
"Tape Tap, S.A.de C.V., TAPE TAP SA DE CV",tel:+52 5539009844,Estado de méxico - Mexico,Adhesive labels,"Labels, paper, adhesive"
DR ENC SA DE CV,tel:+52 442 414 3751,Queretaro - Mexico,"Sheets and strips, steel, cold rolled","Steel sheet and strip, cold rolled, for deep drawing, stamping and pressing"
"Excel Ink SA de CV, Grupo Excel",tel:+52 5555611431,Estado de méxico - Mexico,"Paint, varnish, enamel and ink production plant and equipment",
Catalogomedicomx.com,tel:+52 662 107 03 81,Hermosillo - Mexico,"Ultraviolet (UV), infrared and radiological equipment for biological and medical applications","Medical equipment, ultraviolet (UV)"
"Metroloop SA de CV, metroloop México (metro loop)",tel:+52 12222902829,Puebla - Mexico,Internet services,Internet access providers (IAP)
"Ipraceramic S.A. de C.V., IPRACERAMIC",tel:+52 5529096632,Cuautitlan izcalli - Mexico,"District heating, cooling, steam and compressed air supply services",District cooling system operators
"Global Positive Systems S.A. de C.V., Consultoría y Sistemas para restaurantes (Global Positive Systems)",tel:+52 55240697,Benito juárez - Mexico,Accounting and invoicing machines. Cash registers,"Cash registers and printers, electronic, point of sale (EPOS)"
"Geometrik Engineering, GMTK-ENG (GEOMETRIK ENGINEERING)",tel:+52 4775793739,León guanajuato - Mexico,Metal machining contractors,Machining services on computer numerically controlled (CNC) machining centres for metals
"Dacega Corporation, DACEGA",tel:+52 55 5651 6242,Merced gómez - Mexico,"Ultraviolet (UV), infrared and radiological equipment for biological and medical applications","X-ray equipment, medical, diagnostic"
"SACTIVA - Sistemas Avanzados, Consultoría y Tecnología de Vanguardia S.A. de C.V., SACTIVA",tel:+52 15438978,Lomas de tlatelolco - Mexico,"Software, coding and programming","Software, integration testing (IT)"
"Fulfillmet D`Cada Publicidad, S.A. de CV",tel:+52 55823582,Estado de méxico - Mexico,Photocopying services,
"Provisión Group S.A. de CV, Provisión Group",tel:+52 664 6871745,Tijuana - Mexico,Equipment and instruments for medical laboratories,Breath analysers
"Victor Vilchis Galicia, EMPRESAS VICO",tel:+52 3331217290,Guadalajara - Mexico,Chemicals for building materials,Waterproofing agents for roofs
AM Epoxicos,tel:+52 7283944,El marqués - Mexico,"Coatings and coverings, plastic, industrial use",
"Group Medica Service, GMS",tel:+52 5544205804,Santa isabel tlanepantla - Mexico,Anaesthetic and resuscitation equipment,Medical gas administration apparatus and equipment
Abastecedora Parque y Jardín (Motosierras en Cuernavaca),tel:+52 777372062,Cuernavaca - Mexico,Importers and exporters,"Importers-exporters, ironmongery and hand tools"
"Concepto Mobiliario Urbano, CMU",tel:+52 8211173190,Linares - Mexico,Urban and outdoor furniture,"Park and urban furnishings, metal"
"Baterias y Suministros de Energía, Baterias y Suministros (Baterias Ciclo Profundo)",tel:+52 8186034516,Monterrey - Mexico,"Accumulators, batteries and secondary cells",
"Mantenimiento Control y Proyectos, S.A. de CV, MCP Baja",tel:+52 6649763279,Mexicali - Mexico,"Pumps, by use","Ventilation, air conditioning (VAC) plants"
"Consultores Independientes en Tecnología, S.A. de C.V., VIANSE",tel:+52 4423481498,Juriquilla - Mexico,"Training courses, computing systems, information technology (IT), internet and multimedia","Training courses, mobile applications development/mobile app development"
"Autopartes y Tornillos Rodriguez, Acdelco Refacciones (Acdelco Refaccionaria)",tel:+52 9811317009,Campeche - Mexico,"Installation and maintenance services, for engines and mechanical components",Motor vehicle body spare parts
"Almacenamos, Almacenamos",tel:+52 4424831265,Santiago de querétaro - Mexico,Logistics and procurement services,"Warehousing and distribution logistics services, international"
"Cisa es la Solución S.A. de C.V., CISA (ES LA SOLUCION S.A. DE C.V.)",tel:+52 5573126689,Coyoacán - Mexico,"Industrial cleaning services, by type of premises and equipment","Carpet cleaning contractors, in situ"
"Webs México, PWM (DISEÑO DE PAGINAS WEB)",tel:+52 5525360577,Estado de méxico - Mexico,Internet services,Website development services
Industrias Vicre S. de R.L.MI,tel:+52 2291365916,Veracruz - Mexico,Cocoa and chocolate products,Chocolate liquor
"Materiales Termicos Ecológicos S.A. de C.V., MATESA",tel:+52 36000053,Tlaquepaque - Mexico,Furniture for theatres,
"Aselogs, S.A. de C.V.",tel:+52 55 3544 2771,Coacalco de berriozabal - Mexico,Installation and maintenance services for oil and gas production equipment,Metal forging contractors
"Jorge Alberto Alfaro Salinas, ALFA Maquinados",tel:+52 81 2371 2203,Guadalupe - Mexico,Print finishing,"Perforating, numbering and die-cutting"
"ROCOR Ingeniería, S.A. de C.V., Rocor Ingenieria (Rocor Ingenieria)",tel:+52 44 21867936,La sierrita - Mexico,Timber preparation machinery and equipment,Wood drying plant and equipment
"Suministros Industriales Instec Service de Mexico S.A. de C.V., Instec Service de Mexico",tel:+52 8186767319,Monterrey - Mexico,"Doors, metal","Doors, metal, roller shutter type"
"Defensores Legales, DL",tel:+52 76760086,Coacalco - Mexico,Patent and trade mark agents,Patent lawyers
Copiadoras Importadas México,tel:+52 5557549068,Estado de méxico - Mexico,"Chemicals for papermaking, printing and photography",Toners for photocopiers and laser printers
Agencia de Mercadotecnia (Bola de Nieve Marketing),tel:+52 444 590 1731,San luis potosí - Mexico,Advertising agents,Advertising agents with marketing facilities
"Arce Refaccionaria, ARCE REFACCIONES",tel:+52 3511211085,Zamora michoacan - Mexico,"Decorative articles, for gardens, wooden",Wooden products for gardening and gardens
"Oficemart SA DE CV, OficeMart",tel:+52 664 621 3699,Tijuana - Mexico,Office furniture,Office filing and storage furniture
Pentacom S.A de C.V (Pentacom Sociedad anónima de Capital Variable),tel:+52 5560050139,Álvaro obregón - Mexico,"Accident prevention devices and equipment, industrial","Safety devices, electronic, for machine tools"
"Export Consulting Group, S.A. de C.V., ExportCG",tel:+52 55 5087 6006,Colonia del valle - Mexico,Export consultants and services,International trade consultants
"Suministros de Seguridad Industrial, SSI",tel:+52 3320858175,Tlajomulco - Mexico,Gloves,Road safety equipment
Tecno Alarmas,tel:+52 5558757195,Coacalco - Mexico,"Access control, security and surveillance systems","Security and surveillance systems, electric"
Química y Farmacia S.A. DE C.V.,tel:+52 844 438 3900,Ramos arizpe - Mexico,Chemical products,Chemicals for laboratories and microbiology
Lonas Impresas Monterrey,tel:+52 83440571,Monterrey - Mexico,Offset printing presses,"Printing presses, offset, LED-UV drying system"
Gustavo Arriaga,tel:+52 7225290547,Toluca de lerdo - Mexico,Second-hand equipment,"Building materials, second-hand (trade)"
"Logística de Carga Terrestre Nacional Express Saltillo, S.A. de C.V., CARGA EXPRESS",tel:+52 8442499820,Saltillo - Mexico,Plastic products for transport infrastructure,Airport services
"Ingenia de Occidente S.A. de C.V., INGENIA DE OCCIDENTE",tel:+52 36158070,Guadalajara - Mexico,Packaging and bottling machinery accessories,"Seal applying machines, packaging"
"Cross Moda S.A. de CV, CROSS MODA",tel:+52 2222228708,Puebla - Mexico,"Fabrics, cotton, for clothing and household linen","Fabrics, cotton, for jeans"
"Beser Mex, S.A. de CV, BESER MEX",tel:+52 8717227979,Coahuila - Mexico,Transformer booths,Electric connectors
"Universidad Autónoma Agraria Antonio Narro, UAAAN",tel:+52 844 411 0209,Saltillo - Mexico,Universities,"University faculties, education"
"Switchgear Systems S.A. de C.V., SWGS",tel:+52 53743779,Jardines de santa mónica - Mexico,Electric motor components,Armatures for electric motors and alternators
INACEM,tel:+52 36183375,Guadalajara - Mexico,"Training courses, management and human resources",
"Sábalo Transportation Company, S.A. de C.V.",tel:+52 443 327 2228,Morelia - Mexico,Logistics and procurement services,"Warehousing and distribution logistics services, international"
Sihersa Metal Galvanizado,tel:+52 4444276435,San luis potosí - Mexico,Chemical treatment services for metal parts,"Parkerising services, metal"
"Ingeniería Termodinámica S.A. de C.V., ITML",tel:+52 5555228338,Azcapotzalco - Mexico,Heat exchangers,Cooling towers
"Teloram, S.A. de C.V., Teloram",tel:+52 53952502,Estado de méxico - Mexico,Structural metal fabrications for building work,Structural steel fabrications to customer specification
"Especialidades Aislantes Proliepox, Proliepox",tel:+52 55 55378805,Azcapotzalco - Mexico,Glass fibre products,Glass fibres
Grupo TYP de Jalisco SA de CV,tel:+52 03338251313,Guadalajara - Mexico,"Earth-moving, excavation, foundation and tunnelling contractors",Earth-moving and earthworks contractors
"María José Cano Iglesias, MJCI (Gustamar)",tel:+52 2222658111,Puebla - Mexico,Baby hygiene products,"Wipes, paper, for babies"
"Tecno Soluciones IT, Tecnosoluciones",tel:+52 5583737277,Tlalnepantla de baz - Mexico,Printing consultants,Computer accessories
"Panggio Mexicana SA de CV, Panggio",tel:+52 5563909233,Estado de méxico - Mexico,"Yarns and fabrics, elastic","Lace, elastic"
"Grupo Identificación Pesaje y Control SA de CV, Grupo IPC",tel:+52 4421929600,Queretaro - Mexico,"Scales, balances and weighing machines","Weighing machines, mechanical, portable"
Laura Patricia de la Cruz Martínez (Grupo Econotintas),tel:+52 38115129,Guadalajara - Mexico,Computer accessories,Toner cartridges for laser printers
"Transportes de Especialidades Químicas, S.A. de C.V., TEQSA",tel:+52 5558706089,Cuautitlán izcalli - Mexico,Road haulage of hazardous materials,"Road transport services, bulk corrosive liquids"
"DPM Import S.A. de C.V., DPM IMPORT (DPM IMPORT)",tel:+52 56966311,Estado de méxico - Mexico,Construction materials handling machinery and equipment,Installation and maintenance services for civil engineering and building machinery and equipment
"Fumigaciones In-Control, IN-CONTROL (FUMIGACIONES INCONTROL)",tel:+52 26960622,El refugio - Mexico,Building pest control services,"Fumigation contractors, pest and vermin control"
"Contigo Expertos Asociados, S.C., CEA",tel:+52 5576436360,Estado de méxico - Mexico,"Training courses, management and human resources","Training courses, management"
"Drago Logistics S de RL de CV, Drago Logistics Group",tel:+52 999 9489347,Mérida - Mexico,"Road haulage, part loads","Road transport services, international, part loads"
"Speed Travel Agencia De Viajes, SpeedTravel",tel:+52 41651474,San jose insurgentes - Mexico,Publishing: Newspapers and magazines,Publishers of tourism and travel magazines
"Grupo Profesional en Fundición, S.A. de C.V., GP Fundición, S.A. de C.V. (Maru Villegas)",tel:+52 55236134,Beniato juárez - Mexico,Foundries,
"Soportes Y Más, Sy+ (Soportes y más®)",tel:+52 55 58528126,México - Mexico,"Refined, special and tool steels",Carbon steel
"Relief Web And Design, Relief (Web)",tel:+52 4493861014,Aguascalientes - Mexico,"Training courses, computing systems, information technology (IT), internet and multimedia","Training courses, web page"
"Carsua Asesoria Integral S.C., CAI",tel:+52 55117168,Estado de méxico - Mexico,Legal services,
"Inframagic, S.A. de C.V., Inframagic",tel:+52 50840814,Atizapán de zaragoza - Mexico,Second-hand equipment,"Building materials, second-hand (trade)"
"Bratech Mexico, S.A. de C.V., BRATECH SOPORTES PARA TV",tel:+52 52 3335089399,Zapopan - Mexico,"Bookcases and television and hi-fi furniture, domestic",Stands and brackets for audio equipment
"Marinter S.A. de C V, MARINTER",tel:+52 55 1946 0440,Villa cuauhtemoc - Mexico,Sausages and dry sausages,"Sausages, dried"
"Ruiz Industrial, RI (Ruiz Industrial)",tel:+52 442 684 5159,Queretari - Mexico,"Turned products, metal","Turned parts, stainless and structural steel"
"Despensas y Arcones Corporativos DACO, DACO",tel:+52 5528534149,El santuario - Mexico,"Furniture, kitchen, domestic","Meat-safes, kitchen, domestic"
Daniel Eduardo Ruiz Ruiz (Platinum Travel Club),tel:+52 442 213 7665,Santiago de querétaro - Mexico,"Travel agents, tour operators","Tour operators, leisure"
Maderas del Norte,tel:+52 36551244,Guadalajara - Mexico,Builders' joinery NES,
FM Equipment (Instalaciones Eléctricas en Toluca),tel:+52 7224923727,San mateo atenco - Mexico,Central heating systems,"Central heating plant, industrial, radiant, electric"
"DC Insumos SA de CV, DC INSUMOS",tel:+52 5553473766,Estado de méxico - Mexico,Table linen,Testing equipment for the textile industry
"DC Insumos, S.A. de C.V., DC INSUMOS",tel:+52 5553473766,Estado de méxico - Mexico,Table linen,Testing equipment for the textile industry
"Clean Verde, SA de CV",tel:+52 4425168326,Santiago de querétaro - Mexico,"Industrial cleaning services, by type of premises and equipment","Cleaning contractors, office"
Omega Networks,tel:+52 5591571183,Estado de méxico - Mexico,Servers (computing),Computer network equipment
IJ- Robotics,tel:+52 8444122000,Saltillo - Mexico,Clay tile and brick casting machinery and equipment,Moulds for tiles and bricks
"Materiales Eléctricos y Perfiles La Forja, Eléctrica La Forja (Abel U. José Ambrosio)",tel:+52 9581179918,Santa maría huatulco - Mexico,Electrical insulators,"Electrical insulators, composite"
Rematex SA de CV,tel:+52 5562424400,Guadalajara - Mexico,Knitting machinery and attachments,"Textile, clothing, leather and shoemaking machinery and equipment"
Tamsol,tel:+52 8118145899,Monterrey - Mexico,Logistics and procurement services,
"AFCMX SA de CV, AFC México (Asesoría Fiscal Contable)",tel:+52 2221160579,Puebla - Mexico,Export consultants and services,International trade consultants
"Logística Integradora Industrial Tangamanga NGA SA de Cv, Iitlogistics",tel:+52 44420568888,San luis de potosi - Mexico,Logistics and procurement services,"Logistics services for just in time production, motor vehicle industry"
"Vivri Soy Liv Nutrition Club, VIVRI CLUB",tel:+52 3315757876,Zapopan - Mexico,Health products,"Foods, dietetic, for nourishment therapies"
Comercio Líquido,tel:+52 4731353487,Guanajuato - Mexico,Crude oil (petroleum) production,Oil sands
"Calentadores Delta, Delta",tel:+52 58043868,Iztapalapa - Mexico,"Boilers and water heaters, domestic, gas","Water heaters, gas, domestic"
FD Supply Center S de R.L. de CV (FD Predictive),tel:+52 8113158231,La cuchilla - Mexico,Electrical industry contractors,"Repair and maintenance services for electric motors, generators and transformers"
"Foga-W Group, S.A. de C.V.",tel:+52 56890200,Estado de méxico - Mexico,Logistics and procurement services,"Warehousing and distribution logistics services, international"
Termoformado.mx,tel:+52 83114051,Monterrey - Mexico,"Plates and panels, plastic","Plates, acrylonitrile butadiene styrene (ABS)"
"Sociedad Anónima de Capital Variable, Concentra (Concentra Multimedia)",tel:+52 5555352210,Tlalpan - Mexico,Publishing services,Advertisement and artwork services
"Ingeniería Aplicada a Proyectos e Instalaciones Electromecánicas, S.A. de C.V.",tel:+52 4422191342,Paseos del marqués - Mexico,Electronic and telecommunications engineering consultants,Mechatronics engineering consultants
"Grupo Aduanal del Pacífico, S.A. DE C.V., GAP (CAREAGA)",tel:+52 3143312630,Manzanillo - Mexico,Auxiliary trade activities,Confirming houses
"EHS Torres, S.A. de C.V.",tel:+52 81 84483072,General escobedo - Mexico,Telecommunication installation contractors,Transmitting tower (telecommunication) construction
"Componentes y Equipos Electromecánicos, S.A. de C.V.",tel:+52 3319861427,Guadalajara - Mexico,Power transmissions,
"Dynamic Services Agencia Aduanal, S.A. de C.V.",tel:+52 5573132659,Venustiano carranza - Mexico,Shipping and forwarding agents,"Shipping and forwarding agents, national"
Espacio Dies,tel:+52 5567247402,Naucalpan de juárez - Mexico,"Sawn wood, by use",Wood for furniture manufacturing
"Servicios de Ingeniería Especializados Mec, S.A. de C.V.",tel:+52 5571579608,Estado de méxico - Mexico,Installation and maintenance services for civil engineering and building machinery and equipment,Maintenance and repair services for industrial equipment
"Plásticos Técnicos Mexicanos S.A. de C.V., PTM",tel:+52 427 271 8000,San juan del río - Mexico,Garden furniture,Furniture and linen
Masfacturación S. de R.L. de C.V.,tel:+52 3336710025,Guadalajara - Mexico,Information technology (IT) security services,"Certification services, Internet transactions"
Punto & Chroma,tel:+52 4422254205,Corregidora (texcalera) - Mexico,Advertisement and artwork services,"Graphic design services, advertising"
Liliana Ramírez López,tel:+52 5559080934,Colonia álvaro obregón - Mexico,Optical lenses,"Optical lenses, anastigmatic"
Business SOLUTIONS Cargo,tel:+52 4425160951,Santiago de querétaro - Mexico,Transportation and logistics services,"Shipping services, passenger and freight"
Conektica Agencia de Publicidad,tel:+52 2222499341,Puebla - Mexico,Advertisement and artwork services,"Graphic design services, advertising"
Servicios de Asesoría en Sistemas de Calidad,tel:+52 6561450053,Ciudad juárez - Mexico,"Hooks, metal","S-hooks, metal"
SERSEPO Servicios Integrales SA de CV,tel:+52 734 1177822,Jiutepec - Mexico,Casein and lactose plant and equipment,Centrifuges for lactose and casein production
Bio Energy,tel:+52 2275882,Puebla - Mexico,Information technology (IT) auditing and consulting services,Information technology (IT) project management services
"Tecmym, Tecnologías en Mezcladoras y Molinos, S.A. de CV",tel:+52 55573865778,Estado de méxico - Mexico,Grinding machinery and equipment for the food industry,"Mills, colloid, food industry"
Global Commerce México,tel:+52 5526692676,Tepotzotlán - Mexico,Anaesthetic and resuscitation equipment,Medical gas administration apparatus and equipment
"MAZ Atención Integral y Servicio, S.A. de C.V.",tel:+52 5527541079,Azcapotzalco - Mexico,"Accumulators, batteries, secondary cells, by use",
Intelidax IT Services,tel:+52 2225821447,Puebla - Mexico,Servers (computing),"Servers, network"
Tihsa Maquinados CNC,tel:+52 7717143542,Pachuca hidalgo - Mexico,Structural metal fabrication components for building work,
"Acesam Aire Acondicionado, S.A. de C.V.",tel:+52 5543183269,Mexico city - Mexico,"Ventilation, air conditioning (VAC) plants",Air conditioners
Cocinas Industriales Kitchen Studio,tel:+52 4771561682,León - Mexico,Furniture for hotels and restaurants,"Work tables, stainless steel, for institutional kitchens"
