company name ,contact number,Area,product category 1,product category 2,product category 3,company description
"Duc Dat Development & Investment Trading Co., Ltd.",tel:+84 4 3851 2385,Hà nội - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
"Quoc Viet Co., Ltd.",tel:+84 650 382 5939,Tỉnh bình dương - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
Công ty Cổ Phần SXKD XNK Vĩnh Long,tel:+84 70 396 2710,Tỉnh vĩnh long - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"T & L Handicrafts Manufacture & Export Co., Ltd.",tel:+84 8 3910 3517,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Thien Vuong Trading & Production Co., Ltd.",tel:+84 4 3675 6621,Hà nội - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Rentokil Initial Co.,Ltd.",tel:+84 8 3517 2825,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Phu Nong Co., Ltd.",tel:+84 710 361 0686,Tỉnh cần thơ - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Dinh Hai Equipment Co., Ltd.",tel:+84 8 3815 5195,Tp.hồ chí minh - Viet Nam,Advertising agents,Services to businesses,"Advertising agents, electronic media",Media - Electronic
"Dai Hoang My Co., Ltd.",tel:+84 8 3730 6409,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Viet Kim Joint Stock Co. (Branch),tel:+84 4 3565 7677,Hà nội - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
"Xương Phát Co., Ltd.",tel:+84 8 3896 0746,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Nhat Tien Import - Export & Trading Service JSC,tel:+84 4 3928 7170,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"VN Topvision Co., Ltd.",tel:+84 8 3896 8440,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Vietnam Refrigerators & Electronic Co., Ltd.",tel:+84 4 3633 7514,Hà nội - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
"Tấn Quang Co., Ltd.",tel:+84 8 3715 1314,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"T.D.A Solution Co., Ltd.",tel:+84 8 3974 5311,Tp.hồ chí minh - Viet Nam,Internet services,Information technology (IT) and Internet,Website development services,Internet Media
"Tan Tay A Trading Construction Product Co., Ltd.",tel:+84 4 3784 0684,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Construction
"Nhat Quang Technical & Commercial Co., Ltd.",tel:+84 4 3775 6274,Hà nội - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
"Noni Vina Co., Ltd.",tel:+84 8 3930 6288,Tp.hồ chí minh - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Nhà hàng Lương Sơn Quán,tel:+84 650 3835552,Tỉnh bình dương - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
MT Technology Joint-Stock Co.,tel:+84 8 3812 3603,Tp.hồ chí minh - Viet Nam,Oil and gas drilling and exploration contractors,Civil and marine engineering contractors,"Exploration services, oil and gas",Oil - Exploration
"Minh Sang Co.,Ltd.",tel:+84 67 387 0895,Tỉnh đồng tháp - Viet Nam,Basic metal products,Light metals and alloys,Aluminium,Aluminium
"Long Thuan Co., Ltd.",tel:+84 650 372 8939,Tỉnh bình dương - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
International Consumer Products Joint-Stock Co,tel:+84 8 3842 2825,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Hoa Dang Candle Co., Ltd.",tel:+84 8 3954 1056,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
Binh Tay Import Export Production Service JSC,tel:+84 8 3960 6813,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Packaging
Avnet Technology Solution (Vietnam) Ltd. Co,tel:+84 8 3836 8502,Tp.hồ chí minh - Viet Nam,Advertising agents,Services to businesses,"Advertising agents, electronic media",Media - Electronic
"Alan Co., Ltd.",tel:+84 4 3928 6181,Hà nội - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Tran Quang Shop,tel:+84 8 3516 0965,Tp.hồ chí minh - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Dai Duong Refrigeration Sole Proprietorship,tel:+84 8 3932 7677,Tp.hồ chí minh - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
Dong Tam Exporting Bamboo Blind Cooperative,tel:+84 8 3847 9234,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Hai Phong Do Son Industrial Zone Joint Venture Co.,tel:+84 31 372 9760,Tp.hải phòng - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
Quang Nam Maritime Products Import Export Company JSC,tel:+84 510 386 1249,Tỉnh quảng nam - Viet Nam,Livestock and fish,Aquaculture/aquafarming,"Fish farming, saltwater...",Aquaculture
"Mai Kien Trading Import -Export Co., Ltd.",tel:+84 4 3847 4009,Hà nội - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
"Viet Lan Co., Ltd.",tel:+84 8 3839 6665,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Long Son JSC,tel:+84 8 3815 0000,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Toto Vietnam Co., Ltd. (Ho Chi Minh)",tel:+84 8 3822 9520-1,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Kimberly - Clark Ha Noi Co., Ltd.",tel:+84 4 3641 3440,Hà nội - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
H.A.I Agrochem Joint Stock Co.,tel:+84 8 3824 4975,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
Hiro Export Fine Arts Production J.V Co.,tel:+84 8 3713 8240,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Viet Nam Novellus,tel:+84 4 3785 4256,Hà nội - Viet Nam,Services to businesses,Thematic information and documentation services,Commercial information services,Information Services - Commercial
"Tien Nhat Co., Ltd.",tel:+84 8 3844 7491,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Phuc Son Viet International Co., Ltd.",tel:+84 8 6280 4435,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Miss Aodai Shop (Branch Office),tel:+84 8 3822 2139,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Mead Johnson Nutrition Vietnam-BMS,tel:+84 8 3824 5058,Tp.hồ chí minh - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Jumviex Vietnam Co., Ltd.",tel:+84 650 382 0035,Tỉnh bình dương - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Goodtek HVAC & R Equipment Corp.,tel:+84 8 3771 8167,Tp.hồ chí minh - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
FBS Joint Stock Co.,tel:+84 4 3768 7141,Hà nội - Viet Nam,Industrial development consultants,Services to businesses,Computer integrated manufacturing (CIM) management consultants,Financial Consulting
Duy Chuong Architecture & Investment Corp.,tel:+84 8 3844 1788,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Dai Nam Joint Stock Co.,tel:+84 650 382 9605,- Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
"Cam Dat Trading-Services-Producing Co., Ltd.",tel:+84 8 3550 0908,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Zu Shiyo Vietnam Co., Ltd.",tel:+84 8 3717 3867,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Youth Badge Co., Ltd.",tel:+84 8 3827 7180,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Xuan Thi Handicrafts Co., Ltd.",tel:+84 8 3805 5384,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Xuan Phuc Com Co.,Ltd.",tel:+84 8 3553 3543,Tp.hồ chí minh - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
"Xin Rong Co., Ltd.",tel:+84 650 371 7246,Tỉnh bình dương - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Vy Loan Trading Co., Ltd.",tel:+84 8 3927 2969,Tp.hồ chí minh - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
Vuong Quynh Anh Pte Ent,tel:+84 8 6272 5461,Tp.hồ chí minh - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
"Vinh Hoa Trading Co., Ltd.",tel:+84 4 3664 1867,Hà nội - Viet Nam,Basic metal products,Light metals and alloys,Aluminium,Aluminium
"Vina Ngan My Co., Ltd.",tel:+84 8 3965 0039,Tp.hồ chí minh - Viet Nam,Advertising agents,Services to businesses,"Advertising agents, electronic media",Media - Electronic
Vietnam Termite Control Joint Stock Co.,tel:+84 4 3563 9798,Hà nội - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
Vietnam Investment Technological Development Design Joint Stock Co.,tel:+84 4 3971 5486,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Vietnam Housewares Co., Ltd.",tel:+84 8 3925 3311,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Viet-Chen Restaurants Co., Ltd.",tel:+84 511 384 3888,Tp.đà nẵng - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
Viet Trung Pesticde Joint Stock Co.,tel:+84 4 3755 5765,Hà nội - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
Viet Tre Co. Ltd,tel:+84 8 6253 1489,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Viet Thang Loi Co., Ltd.",tel:+84 8 3875 8559,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Viet Sunrise Co., Ltd.",tel:+84 8 3997 3863,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Viet Star Import - Export Joint Stock Co.,tel:+84 4 3984 3930,Hà nội - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Viet Lam Co., Ltd.",tel:+84 8 3931 6641,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Viet Khanh Co., Ltd.",tel:+84 8 3856 2318,Tp.hồ chí minh - Viet Nam,Oil and gas drilling and exploration contractors,Civil and marine engineering contractors,"Exploration services, oil and gas",Oil - Exploration
Văn Trúc Pte Ent,tel:+84 8 3731 1500,Tp.hồ chí minh - Viet Nam,Oil and gas drilling and exploration contractors,Civil and marine engineering contractors,"Exploration services, oil and gas",Oil - Exploration
"Van Tin Dat Interior Decoration Co., Ltd.",tel:+84 8 3559 1387,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Vạn Phúc Co., Ltd.",tel:+84 710 384 7145,Tỉnh cần thơ - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Van Nam Co., Ltd.",tel:+84 4 3936 3327,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Van Lang Technical & Trading Co., Ltd.",tel:+84 4 3851 5128,Hà nội - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
"Van Duong Co., Ltd.",tel:+84 650 382 9420,Tỉnh bình dương - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Tuan Long Trading & Services Co., Ltd.",tel:+84 4 3388 7233,Hà nội - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Trusodo Co., Ltd. (Truong Son Dong)",tel:+84 8 3515 1238,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Trung Tâm Dịch Vụ Tin Học Khu Vực 1,tel:+84 4 3835 6104,Hà nội - Viet Nam,Services to businesses,Thematic information and documentation services,Commercial information services,Information Services - Commercial
"Trung Quan Trading Co.,Ltd.",tel:+84 8 3930 2217,Tp.hồ chí minh - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
"Truc Lam Vien Co., Ltd.",tel:+84 511 224 2586,Tp.đà nẵng - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Trong Le Co., Ltd.",tel:+84 4 3784 4948,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Tre Lang Manufacture & Trade Import Export Co., Ltd.",tel:+84 8 3995 1355,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Tran Minh Hoa Co., Ltd.",tel:+84 8 38 514 923,Tp.hồ chí minh - Viet Nam,Basic metal products,Light metals and alloys,Aluminium,Aluminium
"Trademark Design Co., Ltd.",tel:+84 4 3755 5791,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"TOPQ Co., Ltd.",tel:+84 4 3936 4767,Hà nội - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Tin Phat Trading Co.,Ltd.",tel:+84 4 3756 9218,Hà nội - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
Tien Thanh Joint Stock Company,tel:+84 8 3862 1259,Tp.hồ chí minh - Viet Nam,Livestock and fish,Aquaculture/aquafarming,"Fish farming, saltwater...",Aquaculture
"Tien Dat Furniture Co., Ltd.",tel:+84 4 3822 3907,Hà nội - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Thuy Cong Co., Ltd.",tel:+84 8 3815 0152,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Thuan Thao Service & Trading Co., Ltd.",tel:+84 8 3895 3421,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Thuan Hai Co., Ltd.",tel:+84 62 387 0387,Tỉnh bình thuận - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Thu Thao Pte Ent,tel:+84 56 382 5442,Tỉnh bình định - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Thu Hao Trading Co., Ltd.",tel:+84 8 3925 2006,Tp.hồ chí minh - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Thao Nhien Co., Ltd.",tel:+84 8 3920 6426,Tp.hồ chí minh - Viet Nam,Advertising agents,Services to businesses,"Advertising agents, electronic media",Media - Electronic
"Thanh Mua Designers-Interior Co., Ltd.",tel:+84 8 3848 9215,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Thanh Loan Trading Pte Ent,tel:+84 8 3731 4024,Tp.hồ chí minh - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Thanh Hai Co., Ltd.",tel:+84 8 3845 2788,Tp.hồ chí minh - Viet Nam,Internet services,Information technology (IT) and Internet,Website development services,Internet Media
Thanh Cong Trading Services & Export Forest Product Process Pte Ent,tel:+84 37 395 8014,Tỉnh thanh hóa - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Thanh Cong Trading Co., Ltd.",tel:+84 4 3824 6423,Hà nội - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Thang Long Co., Ltd.",tel:+84 8 3730 8423,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Thai Van Co., Ltd.",tel:+84 511 365 5055,Tp.đà nẵng - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Thai Thanh Nhan Import Export Co., Ltd.",tel:+84 8 3761 1996,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Thai Hoa Joint Stock Co.,tel:+84 4 3853 2847,Hà nội - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Termite Elimination Sterization Co., Ltd.",tel:+84 4 3733 8033,Hà nội - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
Technology & Engineering Equipment Joint Stock Co.,tel:+84 8 38204344,- Viet Nam,Oil and gas drilling and exploration contractors,Civil and marine engineering contractors,"Exploration services, oil and gas",Oil - Exploration
Tan Tin Vinh JSC,tel:+84 8 3961 9012,Tp.hồ chí minh - Viet Nam,Basic metal products,Light metals and alloys,Aluminium,Aluminium
"Tan Phu Loi Co., Ltd.",tel:+84 8 3866 0834,Tp.hồ chí minh - Viet Nam,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment",Air conditioners,Air conditioner and ventilator components...,Air Conditioning
"Tan My Co., Ltd.",tel:+84 8 3849 4054,Tp.hồ chí minh - Viet Nam,Advertising agents,Services to businesses,"Advertising agents, electronic media",Media - Electronic
"Tan Hung Thinh Trading Co., Ltd.",tel:+84 8 3755 2005,Tp.hồ chí minh - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Tan Hoang Gia Interior Trading Co., Ltd.",tel:+84 4 3771 1087,Hà nội - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Tam Long Craft Co., Ltd.",tel:+84 8 3503 2314,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Tam Hai Co., Ltd.",tel:+84 4 3576 4052,Hà nội - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Tam Duc Service & Trading Co., Ltd.",tel:+84 4 3773 5668,Hà nội - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Tam Diem Co., Ltd.",tel:+84 8 3927 1930,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Ta Dung Co., Ltd.",tel:+84 4 3945 4257,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"T & C Hanoi Construction & Trading Technology Co., Ltd.",tel:+84 4 3716 3958,Hà nội - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
Sunrise Trading & Technique Technology Joint Stock Co.,tel:+84 4 3762 4443,Hà nội - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Star Stamp Services & Trading Co., Ltd.",tel:+84 4 3942 2688,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"South Saigon S.S.A Consultant Design Construction Co., Ltd.",tel:+84 8 6261 0078,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Soo In Korean Food Shop(Thu Dan),tel:+84 8 3811 1001,Tp.hồ chí minh - Viet Nam,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,Food & Beverage / Restaurants
"Song Tran Trading-Construction Co., Ltd.",tel:+84 8 3862 0559,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Song Hong Construction Trading Co., Ltd.",tel:+84 8 3848 2374,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Song Dong Lacquerware Cooperative,tel:+84 8 3844 3687,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Son Thang Trading Production Co., Ltd.",tel:+84 8 3924 2423,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Son Son Co., Ltd.",tel:+84 4 3868 4623,Hà nội - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"SNS Viet Nam Co., Ltd.",tel:+84 321 398 0597,Tỉnh hưng yên - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Shilla Bags Vietnam Co., Ltd.",tel:+84 8 3716 9297,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
Sau Chinh Trading Pte Ent,tel:+84 8 3849 8187,Tp.hồ chí minh - Viet Nam,Basic metal products,Light metals and alloys,Aluminium,Aluminium
"Saigon Plant Protect State Co., Ltd.",tel:+84 710 383 5074,Tỉnh cần thơ - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Saigon Palm Co., Ltd.",tel:+84 8 3511 0405,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Saigon Engineering & Construction Co., Ltd.",tel:+84 8 3997 1860,Tp.hồ chí minh - Viet Nam,"Food, drink, tobacco and catering industry machinery and equipment","Cooking equipment, domestic","Gas cookers, domestic...",Household Products
"Saigon Cafe Manufacturing Service Trading Co., Ltd.",tel:+84 8 3810 4141,Tp.hồ chí minh - Viet Nam,Agriculture and forestry,Cereals and pseudo cereals,Treatment services for agricultural products...,Cereals & Cereal Milling
"Rock Design Co., Ltd.",tel:+84 8 3891 4660,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
"Redstar Trading Service Co., Ltd.(Shop)",tel:+84 8 3925 9205,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Red Pearl Trading Gifts Services Co., Ltd.",tel:+84 8 3512 6805,Tp.hồ chí minh - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Quyet Dat Co., Ltd.",tel:+84 61 388 1446,Tỉnh đồng nai - Viet Nam,"Decorative articles, ceramic","Glass, cement and ceramics","Pottery, regional or traditional...",Gift Items & Handicrafts
"Quoc Khanh Co., Ltd.",tel:+84 8 3854 1200,Tp.hồ chí minh - Viet Nam,Oil and gas drilling and exploration contractors,Civil and marine engineering contractors,"Exploration services, oil and gas",Oil - Exploration
"Quoc Di Design Consultant Construction Co., Ltd.",tel:+84 8 3929 2118,Tp.hồ chí minh - Viet Nam,Architects,"Technical offices and engineering consultancies, architects","Architects, interior design...",Architects / Interior Design
Quang Hưng Thịnh Trading Service Joint Stock Co.,tel:+84 8 3597 6155,Tp.hồ chí minh - Viet Nam,"Property development, management and sales services",Services to businesses,Real estate companies,Real Estate
