company name,contact number,area,product category 1,product category 2,product category 3,company description
"El-Ahmadia Import, Export & Scales Trade","+20 2 22418941, 02-26435830",مصر الجديده.القاهره,"Scales, balances and weighing machines",Measuring and testing equipment,"Scales, balances and weighing machines by use...","Scales, balances and weighing machines by use..."
Kimaplast Chemicals & Leather,"+20 2 23782505, 012-7335400",المعادى.القاهره,"Leathers, furs and their products","Fancy goods, leather","Travel goods, handbags and similar articles, leather...","Travel goods, handbags and similar articles, leather...Commercial Agents& importer of chemical products used for leather tanning & raw materials for tanning & finishing such as dyes. Exporter of leather raw materials. CAPITAL PAID:- 25000 EGP Legal form: Ltd. Partnership Legal Sector:Private"
Integral Import & Export,"+20 2 25319922, 02-27544818, 012-2111231",مصر القديمه.القاهره,"Leathers, furs and their products","Travel goods, handbags and similar articles, leather","Travel bags, leather...","Travel bags, leather..."
Amansa for Engineering Consultants & Trading,"+20 2 24541567, 02-22572733, 02-24555828, 02-24534270, 010-26644730, 010-26644720, 010-5441448, 010-5443044, 010-5443441, 010-5443144",مصر الجديده.القاهره,Compressors by use,Engines and mechanical parts,Compressors for the building industry...,Compressors for the building industry...Commercial agents & importer of air compressors & spare parts. CAPITAL PAID:- 10000000 EGP TOTAL ASSETS:- 23000000 EGP Legal form: Ltd. Partnership Legal Sector:Private
Alamya for Chemicals & Technology,"+20 2 25248140, 012-22177727, 012-25585850, 010-3553003",المعادى.القاهره,Natural and chemically derived additives for food and beverages,Chemical products,Natural and chemically derived flavourings for food and beverages...,Natural and chemically derived flavourings for food and beverages...
Elsenbisi Trade & Industrial Services,"+20 2 24943758, 012-1713262, 010-7734608",المطريه.القاهره,Installation and maintenance services for handling machinery and equipment,Handling and storage plant and equipment,Repair and vulcanising services for conveyor belting...,Repair and vulcanising services for conveyor belting...Importer of movable gears for foodstuffs products machines. Legal form: Partnership Legal Sector:Private
Alfa Trade,"+20 2 25888604, 02-25894109",وسط البلد.القاهره,"Timber, wooden products, machinery and equipment for the woodworking industry",Woodworking tools,"Hardware, ironmongery, cutlery and tools...","Hardware, ironmongery, cutlery and tools...Commercial agents, distributer & importer of handtools, workshop's welding machines & its spare parts.. CAPITAL PAID:- 20000 EGP COMM.REGISTRY NO.:- 279540 Legal form: Ltd. Partnership Legal Sector:Private"
El-Safa for Trading & Agencies,+20 2 25913791,وسط البلد.القاهره,Textiles,"Fabrics, linen","Fabrics, linen, raw...","Fabrics, linen, raw...Commercial agent, importer & distributor of hand tools & handling equipment. CAPITAL PAID:- 50000 EGP Legal form: Partnership Legal Sector:Private"
Int'l Office Export & Import,"+20 2 22747155, 02-22747124, 02-22876373, 02-22876372, 010-7011574, 010-5555071, 010-2828828, 010-5005550",مدينه نصر.القاهره,Paper and board,Carbon and self-duplicating paper and articles,"Paper, carbon...","Paper, carbon...Agent & importer of office stationery & binding machines. CAPITAL PAID:- 400000 EGP COMM.REGISTRY NO.:- 331723 Cairo IMP.REGISTRY NO.:- 34468 TAX CARD NO.:- 411-268-562 Legal form: Partnership Legal Sector:Private"
Dawlia for Industrial Services,+20 2 24473051,المعادى.القاهره,Machinery and equipment for metalworking,Flame welding and cutting machinery and equipment for metal,"Profile cutting machines, oxyacetylene...","Profile cutting machines, oxyacetylene..."
Scientific Trading,+20 2 26703806,مدينه نصر.القاهره,Magnetic and electromagnetic measuring instruments,Measuring and testing equipment,"Measuring instruments, magnetism...","Measuring instruments, magnetism..."
"Masria Import, Export & Agencies",+20 2 23915399,وسط البلد.القاهره,"Tableware, plastic",Plastic products,"Jugs, plastic, kitchenware...","Jugs, plastic, kitchenware...Commercial agencies & importer of electrical domestic appliances. CAPITAL PAID:- 120000 EGP IMP.REGISTRY NO.:- 12463 TAX CARD NO.:- 100-329-784 Legal form: Partnership Legal Sector:Private"
Trade Egypt,"+20 2 22746968, 012-3796333",مدينه نصر.القاهره,"Amines, including salts, amides and other organic nitrogen compounds NES",Diphenylamine and derivatives,Chemical base materials...,Chemical base materials...
Egyptian for Computers & Technology,"+20 2 22915497, 012-9434641, 012-2135869, 02-22913012",مصر الجديده.القاهره,Information technology (IT) and Internet,Servers (computing),Personal computers (PC)...,Personal computers (PC)...
Masria Stationery,"+20 2 27547299, 02-27547288",المعادى.القاهره,Printing equipment. Office and shop equipment,"Cutting and perforating machinery and equipment, printing industry","Glueing machinery and equipment, printing industry...","Glueing machinery and equipment, printing industry..."
Quality Systems,"+20 2 27941708, 02-27941430",جاردن سيتى.القاهره,Measuring and testing equipment,Length measuring instruments,Volume measuring instruments...,"Volume measuring instruments...Importer of engineering & scientific equipment used in measurements [training units of satellite communication systems, remote measuring for areas]. Legal form: Individual Ent. Legal Sector:Private"
Int'l Steel Marketing,+20 2 26251595,مصر الجديده.القاهره,"Bars, steel and rolled steel",Basic metal products,"Reinforcing bars, steel...","Reinforcing bars, steel...Importer & distributor of iron & steel products. [Activity is temporarily ceased]. Legal form: Partnership Legal Sector:Private"
Ramez Elevators & Escalators Consultants,"+20 2 25907639, 02-25929429, 012-7434398",الظاهر.القاهره,Installation and maintenance services for handling machinery and equipment,Handling and storage plant and equipment,"Installation, repair and maintenance services for lifts and elevators...","Installation, repair and maintenance services for lifts and elevators...Supplier, installation, maintenance & repairing of elevators & escalators. CAPITAL PAID:- 250000 EGP TOTAL ASSETS:- 899282 EGP COMM.REGISTRY NO.:- 294119 Cairo TAX CARD NO.:- 239-469-666 Legal form: Ltd. Partnership Legal Sector:Private"
Pharaohs for Paper Industy,"+20 2 26651177, 02-26651188",ط.قاهره/اسماعيليه.القاهره,Paper and board,"Paper and board, graphic design use, for printing",Paper for laser printers...,Paper for laser printers...Converting of paper. CAPITAL PAID:- 1000000 EGP COMM.REGISTRY NO.:- 5530 Cairo TAX CARD NO.:- 210-865-156 Legal form: Partnership Legal Sector:Private
Kassab Paper Trading,"+20 2 24506575, 012-2103418",مصر الجديده.القاهره,"Pulp, groundwood/mechanical and chemical",Paper and board,Base and backing paper...,"Base and backing paper...Importer & supplier of all kinds of paper used in printing & notebooks, books for offices & companies. Legal form: Individual Ent. Legal Sector:Private"
Hassan El-Mawan,"+20 2 25902228, 02-25909348",وسط البلد.القاهره,"Leathers, furs and their products","Travel goods, handbags and similar articles, leather","Travel bags, leather...","Travel bags, leather...Importer of bags for ladies. Distributor of belts & bags of leather locally. Legal form: Ltd. Partnership Legal Sector:Private"
Delta Engineering Systems,,القلعه.القاهره,"Barriers and gates, metal",Metal constructions for the building industry,"Road barriers, automatic, metal...","Road barriers, automatic, metal..."
Pharaana Import & Export,,مصر الجديده.القاهره,Paper and board,"Paper and board, graphic design use, for drawing and writing",Wholesale trade...,Wholesale trade...Importer & distributor of paper. COMM.REGISTRY NO.:- 349671 TAX CARD NO.:- 288-920-104 Legal form: Partnership Legal Sector:Private
Egyptian Engineering-Ahmed Yehia & Co.,"+20 2 22758605, 02-22714850",مدينه نصر.القاهره,Air pumps,Engines and mechanical parts,"Pumps, air, hand operated (inflator pumps)...","Pumps, air, hand operated (inflator pumps)...Commercial agent & maintenance of air compressors pumps vacuum systems & driers. CAPITAL PAID:- 20000 EGP COMM.REGISTRY NO.:- 377176 Cairo Legal form: Partnership Legal Sector:Private"
El-Asala for Trade & Industry Group,"+20 2 26845265, 02-24839805, 02-24824388",العباسيه.القاهره,Clothing and footwear,"Sportswear, by sport type",Sportswear and leisurewear...,Sportswear and leisurewear...
Shoka Trade,"+20 2 22676734, 02-22677159",مصر الجديده.القاهره,"Health, medical and pharmaceutical",Parapharmaceutical preparations,Economic studies...,Economic studies...Importer & marketing of human pharmaceuticals. Legal form: Individual Ent. Legal Sector:Private
Ufuk Int'l Trade,"+20 2 24052090, 012-2234098",مدينه نصر.القاهره,Equipment for telephone networks,Electronic equipment. Telecommunications equipment,Telephone intercommunication equipment...,"Telephone intercommunication equipment...Importer, supplier of towers of mobile networks & equipments rooms of mobile networks. Legal form: Individual Ent. Legal Sector:Private"
Westland Agro Import & Export,"+20 2 22914806, 012-2189161",مصر الجديده.القاهره,Agriculture and forestry,"Flowers, cut","Seeds, agricultural and horticultural...","Seeds, agricultural and horticultural...Importer of all kinds of natural cut flowers. Exporter of ornamental plant seeds. CAPITAL PAID:- 25000 EGP Legal form: Partnership Legal Sector:Private"
Delta Nile,+20 12 3138090,مصر الجديده.القاهره,"Metal pipework, valves and containers","Valves, cocks, taps and fittings, by metal type","Plug and ball valves, taps and cocks, metal...","Plug and ball valves, taps and cocks, metal...Commercial agent in the field of steam & oil boilers. Importer & distributor, installation & maintenance of pumps, valves & control systems. Legal form: Individual Ent. Legal Sector:Private"
I.D.M Technologies,"+20 2 24149709, 012-27427160",مصر الجديده.القاهره,Fuels and petroleum based products,Chemical base materials,Kerosene and petroleum based paraffin oils...,Kerosene and petroleum based paraffin oils...
Amal Foodstuff,"+20 2 25415735, 02-25430966",وسط البلد.القاهره,Wholesale trade,"General traders, department and retail stores","Food, beverages and tobacco (wholesale)","Food, beverages and tobacco (wholesale)Importer of frozen meat. CAPITAL PAID:- 50000 EGP Legal form: Ltd. Liability Legal Sector:Private"
Cairo Electronics,"+20 2 24144182, 02-24147932",مدينه نصر.القاهره,"Aerials/antennas, radioelectric",Electronic equipment. Telecommunications equipment,Installation and maintenance services for the electronics industry...,Installation and maintenance services for the electronics industry...
Andlus for Medical Requisties,+20 2 27961900,وسط البلد.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,"Surgical equipment and instruments...Importer of hospital requisites[beds, wheel chairs for disabled equipment]. Legal form: Partnership Legal Sector:Private"
Eemco Import & Export,"+20 2 24729562, 02-24725543, 02-24729863, 010-8551577",مدينه نصر.القاهره,Thermometers,Measuring and testing equipment,Temperature measuring instruments NES...,Temperature measuring instruments NES...Importer & distributor of all kinds of engineering measuring appliances [electricity & communication appliances & thermometers ] . CAPITAL PAID:- 51000 EGP Legal form: Partnership Legal Sector:Private
Mostakbal Group for Development,"+20 2 24018022, 02-24018042, 010-8552730",مدينه نصر.القاهره,Food,"Food products, chilled",Beverages...,"Beverages...Importer, exporter & distributor food products & all kinds of beverages. Advertising services, decoration & marketing consultants. Legal form: Joint Stock Legal Sector:Private"
Sigma Group,"+20 2 26447245, 02-22406602, 02-26423604, 02-26336964",مصر الجديده.القاهره,Wires and cables for telecommunications and electronics,Electronic equipment. Telecommunications equipment,Fibre optic cables...,"Fibre optic cables...Importer, exporter & assembly, installation & testing of electronics. After sale services. CAPITAL PAID:- 50000 EGP COMM.REGISTRY NO.:- 321736 TAX CARD NO.:- 288-751-523 Legal form: Individual Ent. Legal Sector:Private"
Fakhory for Trading,"+20 2 22056710, 02-22059459, 012-3230396, 012-2391664",شبرا.القاهره,Textiles,"Yarns and twists, man-made fibres","Yarns and twists, man-made fibres, by use...","Yarns and twists, man-made fibres, by use...Importer & distributor of all fabrics for ready-made garments industries [marigold, chamois, linen, cotton & Lycra]. Legal form: Individual Ent. Legal Sector:Private"
Orascom Free Zone,"+20 2 24611111, 02-24611709, 02-24611728, 012-6889998",وسط البلد.القاهره,Marine engines,Engines and mechanical parts,Components for marine engines...,Components for marine engines...
Azhar Pearl,"+20 2 23963232, 02-23951486",الازهر.القاهره,Equipment for telephone networks,Electronic equipment. Telecommunications equipment,Facsimile (fax) machines...,"Facsimile (fax) machines...Commercial agent for telephone sets. Importer & supplier of telecommunication equipment[fax, telephone, primacell, mp3 & mobile phones]. Legal form: Individual Ent. Legal Sector:Private"
Tam Eng for Import & Trading Equipment,"+20 2 22739844, 02-22748167, 012-2406466",مدينه نصر.القاهره,"Metal components and fittings for gates, doors, windows, skylights, shutters, blinds and awnings","Hardware, ironmongery, cutlery and tools",Pumps NES...,Pumps NES...Commercial agent for submersible water pumps & motors. Importer of building machinery [winches & mixers]. Legal form: Ltd. Partnership Legal Sector:Private
Dover Investments Ltd.,"+20 2 27538604, 02-27538603, 02-27538606, 02-27538805",المعادى.القاهره,Oil and gas drilling and exploration contractors,Civil and marine engineering contractors,"Directional drilling contractors, oil well...","Directional drilling contractors, oil well...Exploration & drilling of petroleum wells. Importing of production requisites. CAPITAL PAID:- 50000 EGP Legal form: Ltd. Liability Legal Sector:Private"
Retaj Industry & Int'l Trade,"+20 2 24031475, 02-24051459",مدينه نصر.القاهره,Food,"Fish, canned, bottled and otherwise packaged",Clothes by fabric...,Clothes by fabric...
Silver Star,"+20 2 24540005, 02-24540004, 012-3160570",حدائق القبه.القاهره,Furniture and linen,Office furniture,"Furniture, wooden, for offices...","Furniture, wooden, for offices...Importer of office wooden furniture[Chair, desk] iron safes & clocks for attendance records. Legal form: Individual Ent. Legal Sector:Private"
Saad Trade & Chemicals Est.,"+20 2 25902790, 010-1250122",الازهر.القاهره,Hygiene and cleaning,Cleaning products and detergents,"Cleaning products and detergents, by use...","Cleaning products and detergents, by use...Importer of chemical products[industrial detergents for machines & equipment cleaning]. CAPITAL PAID:- 100000 EGP Legal form: Individual Ent. Legal Sector:Private"
AIN Systems,"+20 2 25258383, 02-25280064, 012-3277360",المعادى.القاهره,Security equipment,Fire extinguishers and fire extinguishing systems,Fire-fighting vehicles and engines...,Fire-fighting vehicles and engines...
El-Gohary-Mohamed El-Gohary,"+20 2 25776023, 02-25773262, 012-2604100",وسط البلد.القاهره,Means of transport,Motor vehicle body spare parts,"Bumpers, energy absorbing, commercial vehicle...","Bumpers, energy absorbing, commercial vehicle...Importer of Motor vehicles spare parts. CAPITAL PAID:- 25000 EGP EXP.REGISTRY NO.:- 41705 Legal form: Ltd. Partnership Legal Sector:Private"
Chatin Import & Export,+20 2 24145260,مصر الجديده.القاهره,Wholesale trade,"General traders, department and retail stores","Clothing,  footwear, fur, leather goods and fashion accessories (wholesale)","Clothing,  footwear, fur, leather goods and fashion accessories (wholesale)Importer & distributor of ready-made garments for ladies. CAPITAL PAID:- 20000 EGP COMM.REGISTRY NO.:- 6762 Legal form: Ltd. Partnership Legal Sector:Private"
Amago Import & Export,"+20 2 22405839, 02-26449332","المطريه, القاهره",Catalysts,Chemical base materials,"Catalysts, alkylation...","Catalysts, alkylation...Manufacturer of catalysts used in textile industry . CAPITAL PAID:- 1000000 EGP COMM.REGISTRY NO.:- 294947 Cairo TAX CARD NO.:- 237-133-075 Legal form: Individual Ent. Legal Sector:Private"
Direct Market,"+20 2 27362065, 010-2003886",الزمالك.القاهره,Chemical products,Chemicals and auxiliaries for rubber and plastics,Wholesale trade...,Wholesale trade...Importer & distributer of raw materials used in plastic industry. Exporter of marble. Legal form: Partnership Legal Sector:Private
Hakim Misr-Paco for All Kinds of Plastic Products,"+20 2 22717976, 02-22717977, 02-22717978, 02-22873416, 02-22873415, 02-22873417","مدينه نصر, القاهره","Sheet and film, plastic",Plastic products,"Sheet and film, plastic, metallised...","Sheet and film, plastic, metallised..."
Safa Trading,"+20 2 22609077, 02-22609113",مدينه نصر.القاهره,Equipment for telephone networks,Electronic equipment. Telecommunications equipment,Facsimile (fax) machines...,Facsimile (fax) machines...Importer of used photocopier & its requisites. CAPITAL PAID:- 50000 EGP COMM.REGISTRY NO.:- 337311 TAX CARD NO.:- 713-626-666 Legal form: Ltd. Partnership Legal Sector:Private
Anglo Textiles,"+20 2 22718402, 02-22718458, 02-26717010, 02-26717011",مدينه نصر.القاهره,Textiles,"Fabrics, man-made fibres","Fabrics, polyester","Fabrics, polyester"
Telecom & Technology,"+20 2 25058035, 02-25058036, 012-25670001",القلعه.القاهره,Business management consultants,Services to businesses,,
Universal Group,"+20 2 25793453, 02-25792088, 02-25793454",وسط البلد.القاهره,Wholesale trade,"General traders, department and retail stores",Handling equipment (wholesale),Handling equipment (wholesale)Importer & distributor of heavy duty equipment spare parts [hydraulic oil seal]& conveyor belts. Legal form: Individual Ent. Legal Sector:Private
Micro Top,"+20 2 22578004, 010-1366632",مصر الجديده.القاهره,Information technology (IT) and Internet,Personal computers (PC),"Computers, desktop/personal computers (PCs)...","Computers, desktop/personal computers (PCs)...Distributor & exchange of computers & requisites [cameras, speakers & mouse]. CAPITAL PAID:- 20000 EGP COMM.REGISTRY NO.:- 343013 TAX CARD NO.:- 320-408-094 Legal form: Individual Ent. Legal Sector:Private"
Eastern for Sweets & Chocolates Manufacturing,"+20 2 43130287, 02-43130289","ط. القاهره/الاسماعليه ,القاهره",Food,Biscuits and crackers,"Biscuits, wafer...","Biscuits, wafer..."
Pharmaceutica for Chemicals & Pharmceuticals,"+20 2 22916585, 02-24184357, 02-26214688, 02-26214698, 010-1765121, 010-6087569",مصر الجديده.القاهره,Food,Animal feed,Vitamines...,Vitamines...
Thebes Int'l Export & Import S.A.E,"+20 2 22613472, 02-22612166, 02-24033203, 010-5450024, 010-1818493",مدينه نصر.القاهره,Paper and board,"Photographic paper, board, film, cloth and plates. Diazo/dyeline paper",Photographic plates for the printing industry...,Photographic plates for the printing industry...
El-Sahel Sons-Ezzat Aziz Meawad & Partners,"+20 2 24306300, 02-24306301",شبرا.القاهره,Agriculture and forestry,Cereals and pseudo cereals,Barley...,Barley...
Golden El-Jawhara,"+20 2 25767793, 02-25760035",وسط البلد.القاهره,Food,Food packaging services,Packaging services for tea...,Packaging services for tea...Packaging wrapping of tea. CAPITAL PAID:- 27500000 EGP COMM.REGISTRY NO.:- 61593 TAX CARD NO.:- 112-633-703 Legal form: Partnership Legal Sector:Private
Kabco Egypt,"+20 2 24030117, 02-22635429",مدينه نصر.القاهره,Metal constructions for the building industry,"Doors, metal","Doors, aluminium...","Doors, aluminium...Commercial agents for various fields, advice for building to open & close doors, aluminium accessories [doors & windows hinges]. Importer of aluminium systems. Legal form: Ltd. Liability Legal Sector:Private"
Schomburg Middle East,"+20 2 24141003, 02-22912315",مصر الجديده.القاهره,Chemical products,Chemicals for building materials,Waterproofing agents for concrete and mortar...,Waterproofing agents for concrete and mortar...
Cairo Trading Office,"+20 12 2163410, 02-25911504, 02-25897487",الازهر.القاهره,"Haberdashery articles, plastic",Plastic products,Sports and leisure equipment...,Sports and leisure equipment...Importer of kids toys & haberdashery . Legal form: Partnership Legal Sector:Private
Integrated Environment Technology & Oil Services,"+20 2 22675150, 02-22684645, 012-3907207",مصر الجديده.القاهره,Chemicals for water treatment,Chemical products,Building contractors...,Building contractors...
Era Technologies,"+20 2 26717498, 02-26717499, 010-6157725, 010-1010837",مدينه نصر.القاهره,Information technology (IT) and Internet,Personal computers (PC),"Computers, desktop/personal computers (PCs)...","Computers, desktop/personal computers (PCs)...Distributor & maintenance of all kinds of computers & networks. Importer of computer accessories [monitors & mouse]. Legal form: Joint Stock Legal Sector:Private Inv. Law"
Petroleum Projects & Technical Consultations,"+20 2 26253001, 012-2301159, 02-26230788",مصر الجديده.القاهره,Building contractors,Building industry,Factory building contractors...,Factory building contractors...
"Petroleum Air Services, P.A.S","+20 2 24032181, 02-24032182, 02-24032183, 02-24032184, 02-24032185, 02-24032186, 02-24032124, 02-24032180, 9 Lines, 012-2429336",مدينه نصر.القاهره,"Air transport services, passenger and freight",Transportation and logistics services,Air freight carriers...,Air freight carriers...
Engineering Constructions Egypt,"+20 2 26905453, 02-24149007, 012-23243428",مصر الجديده.القاهره,Building contractors,Building industry,General building contractors...,"General building contractors...Integrated turnkey projects [admin, residential & industrial]. Building of electricity & gas stations contractors. CAPITAL PAID:- 3000000 EGP Legal form: Ltd. Partnership Legal Sector:Private"
"Egyptian Canadian & Chemicals, ECC","+20 2 22908056, 02-22905020, 02-26907080",مصر الجديده.القاهره,Chemical products,Chemicals for mining and oil extraction,Wholesale trade...,Wholesale trade...
Abu Khoshala Trade,+20 2 44810057,ط.قاهره/اسماعيليه.القاهره,Cheese,Food,"Cheese, fresh...","Cheese, fresh...Importer exporter of foodstuffs[all kinds of cheese, Romy, chedder & istamboli] Processing of food [all kinds of cheese]. Legal form: Ltd. Partnership Legal Sector:Private"
Far East Int'l Trading,"+20 2 24145660, 02-24173057, 02-22617892, 010-6546775",مصر الجديده.القاهره,"Health, medical and pharmaceutical",Dental equipment and instruments,Dental units...,Dental units...Agents of dental requisites. CAPITAL PAID:- 100000 EGP COMM.REGISTRY NO.:- 365073 Cairo Legal form: Partnership Legal Sector:Private
Sahara Petroleum Services,"+20 2 25162551, 02-25162549, 02-25166721, 02-25166724, 02-25166725, 02-25194800, 7 Lines, 02-25196262",المعادى.القاهره,"Technical offices and engineering consultancies, architects","Geological, geotechnical, geochemical engineering consultants","Surveying services, photogrammetric...","Surveying services, photogrammetric..."
Space Medical,"+20 2 22879796, 02-22879795, 02-22879794",مدينه نصر.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,"Surgical equipment and instruments...Importer of medical requisites, pharmaceuticals & medical equipment. CAPITAL PAID:- 25000 EGP Legal form: Ltd. Partnership Legal Sector:Private"
M S for Importing,"+20 2 25757320, 012-2204268",وسط البلد.القاهره,Lifts and elevators,Handling and storage plant and equipment,Escalators and moving walkways...,Escalators and moving walkways...Importer of electric elevators spare parts. CAPITAL PAID:- 20000 EGP COMM.REGISTRY NO.:- 40196 Cairo TAX CARD NO.:- 220-087-865 Legal form: Ltd. Partnership Legal Sector:Private
Click Information Technology Solutions,"+20 2 22752508, 02-24722977, 02-24722602, 02-22752494, 02-26706649, 02-22752506, 010-3156323, 010-66640972, 012-23156323",مدينه نصر.القاهره,Testing equipment for the electronics industry,Measuring and testing equipment,"Computer test equipment, programmable...","Computer test equipment, programmable...Importer, distribution & maintenance computers & its requisites. Installation of networks. CAPITAL PAID:- 600000 EGP COMM.REGISTRY NO.:- 337538 TAX CARD NO.:- 713-642-920 Legal form: Ltd. Partnership Legal Sector:Private"
Amir Medical Glasses,+20 2 25916325,وسط البلد.القاهره,Flat glass,"Glass, cement and ceramics","Glass, flat, optical...","Glass, flat, optical...Importer of medical & sunglasses. [Last data from the company at the print time]. Legal form: Partnership Legal Sector:Private"
Egyptian Home Automation,"+20 2 24154725, 012-2178387",مصر الجديده.القاهره,Security equipment,"Access control, security and surveillance systems",Intruder detection systems,Intruder detection systemsImporter of surveillance cameras. CAPITAL PAID:- 50000 EGP COMM.REGISTRY NO.:- 2457 Cairo Legal form: Ltd. Liability Legal Sector:Private Law 159
Windsor for Trading & Converting Paper,"+20 2 44812405, 02-44812406, 02-44812407, 012-2405308",ط.قاهره/اسماعيليه.القاهره,Paper and board,"Paper and board, graphic design use, for printing","Paper, esparto...","Paper, esparto..."
Organo Pharmaceutical & Chemical Industries,+20 2 44892351,ط.قاهره/اسماعيليه.القاهره,"Health, medical and pharmaceutical",Pharmaceutical preparations for the central and autonomic nervous system and anaesthetics,"Anaesthetics, basal...","Anaesthetics, basal...Manufacturer of human & veterinary medicines. CAPITAL PAID:- 25000000 EGP Legal form: Ltd. Partnership Legal Sector:Private"
Said Trade & Distribution,"+20 2 22596843, 012-22403953",حدائق القبه.القاهره,Chemical products,"Fertilisers, organic carbon based","Fertilisers, chemical and mineral...","Fertilisers, chemical and mineral..."
Magrabi Agriculture,"+20 2 25781151, 02-25781150, 02-25781161",وسط البلد.القاهره,Agriculture and forestry,Root vegetables,Tuberous and rhizome vegetables...,Tuberous and rhizome vegetables...
Lotus Trade & Industrial Services,"+20 2 22908894, 012-2394302",مصر الجديده.القاهره,"Food, drink, tobacco and catering industry machinery and equipment",Abattoir plant and equipment,"Poultry abattoir plant and equipment, complete...","Poultry abattoir plant and equipment, complete...Commercial agents for poultry mincing machines & poultry machines for abattoirs [chickens deboning machines]. COMM.REGISTRY NO.:- 382462 Legal form: Partnership Legal Sector:Private"
El-Alfy for Contracting Marble & Granite,"+20 2 29700701, 02-29700702, 012-23938847",المعادى.القاهره,Stone products,"Glass, cement and ceramics","Stone products, granite, gneiss...","Stone products, granite, gneiss...Processing & exporter of marble. Marble installation contractors. CAPITAL PAID:- 10500000 EGP COMM.REGISTRY NO.:- 10486 Cairo Legal form: Partnership Legal Sector:Private"
Arab Trading Int'l-Ossama Fathi & Co.,"+20 2 22616794, 02-24033369",مدينه نصر.القاهره,Electric motor components,Engines and mechanical parts,Electrical equipment. Nuclear equipment...,Electrical equipment. Nuclear equipment...
Grow Tech Agricultural Development,"+20 2 24145830, 02-24145308, 02-24021878, 010-6021600",مصر الجديده.القاهره,Livestock and fish,Marine algae and plankton,Seaweed...,Seaweed...
Feam Misr,"+20 2 27549968, 012-2348407",المعادى.القاهره,Electric substations and switch- boxes,Electrical equipment. Nuclear equipment,Switch-boxes...,"Switch-boxes...Importer & commercial agents in the field of anti-explosion electric works[flash lights, power distribution boards & switches]. Legal form: Joint Stock Legal Sector:Private Law 159"
Mori Sushi Restaurant,"+20 2 24182771, 02-27350206",الزمالك.القاهره,"Hospitality, tourism, hotel and catering industries",Restaurants and bars,Restaurants,RestaurantsChinese food restaurant. CAPITAL PAID:- 50000 EGP TOTAL ASSETS:- 9856862 EGP COMM.REGISTRY NO.:- 8986 TAX CARD NO.:- 200-249-673 Legal form: Ltd. Liability Legal Sector:Private
Int'l Trading & Agencies-Rashad El-Sayed Gad & Co.,"+20 2 26234590, 02-26242493",مصر الجديده.القاهره,Tobacco and tobacco products,Food,Cigarettes...,Cigarettes...
Myah Trading,+20 2 27941536,المنيره.القاهره,Grinding machinery and equipment for the catering industry,"Food, drink, tobacco and catering industry machinery and equipment",Cutting machinery and equipment for the catering industry...,Cutting machinery and equipment for the catering industry...Commercial Agonies & importer of hotel requisites [foodstuffs]. CAPITAL PAID:- 80000 EGP COMM.REGISTRY NO.:- 34193 TAX CARD NO.:- 222-738-626 Legal form: Ltd. Partnership Legal Sector:Private
Khaledeya Import & Export,"+20 2 27920025, 02-27941910",وسط البلد.القاهره,Means of transport,Motor vehicle transmission parts and spare parts,"Gearboxes, manually operated, motor vehicle...","Gearboxes, manually operated, motor vehicle...Importer of motor cars spare parts. Legal form: Ltd. Liability Legal Sector:Private"
Middle East for Import,+20 2 25711115,المنيل.القاهره,Means of transport,Motor vehicle transmission parts and spare parts,"Gearboxes, manually operated, motor vehicle...","Gearboxes, manually operated, motor vehicle...Importer of motor vehicles spare parts specially cars[Opel, BMW]. CAPITAL PAID:- 20000 EGP COMM.REGISTRY NO.:- 26037 Cairo TAX CARD NO.:- 229-592-384 Legal form: Ltd. Partnership Legal Sector:Private"
White Oak Int'l Trading,"+20 2 26205198, 02-26205197, 02-26239892, 010-1370703",مصر الجديده.القاهره,Amplifiers,Electronic equipment. Telecommunications equipment,"Amplifiers, by use...","Amplifiers, by use..."
Almagd for Laboratory & Medical Supplies,"+20 2 26320290, 010-1602921",المطريه.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,Surgical equipment and instruments...,Surgical equipment and instruments...
Mac Egypt Contract,"+20 2 22724911, 02-22724903",مدينه نصر.القاهره,Furniture and linen,Office furniture,"Furniture, wooden, for offices...","Furniture, wooden, for offices...Importer of office, banks & shops furniture. COMM.REGISTRY NO.:- 17908"
Market Leaders,"+20 2 24530763, 02-24530917",مصر الجديده.القاهره,Petrol engines,Engines and mechanical parts,Diesel engines...,Diesel engines...
Unix for Import & Export,"+20 2 22742180, 02-24524019, 02-22703400, 010-7069691, 010-6576180",مدينه نصر.القاهره,Information technology (IT) and Internet,Personal computers (PC),"Computers, desktop/personal computers (PCs)...","Computers, desktop/personal computers (PCs)...Distributor & maintenance of computers. CAPITAL PAID:- 100000 EGP COMM.REGISTRY NO.:- 37902 Cairo Legal form: Individual Ent. Legal Sector:Private"
Rashdan Center,"+20 2 24551555, 02-22573850, 02-22564960, 02-22564961, 02-22564962",مصر الجديده.القاهره,Printing equipment. Office and shop equipment,Photocopiers,Mailing and postal machinery and equipment...,"Mailing and postal machinery and equipment...General importer. Importer & trading of giftware, sanitary ware, office & domestic furniture. CAPITAL PAID:- 25000 EGP"
