Product Code,Product Label,"UAE export to russia Value in 2022, USD thousands","nnual growth in value between 2018-2022, %, p.a","Russia Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported Uae to russia in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"russia import from world Value in 2022, USD thousand ","Annual growth in value between russia import from world 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported russia to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"uae to world export Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported Uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
261900,"Slag, dross, scalings and other waste from the manufacture of iron or steel (excl. granulated . . .", , , ,4, , , ,4,"4,444",85,1,"25,935",No quantity,171,"15,117",143,3,"1,949",No quantity,"1,390",20
262011,Hard zinc spelter, , , ,4, , , ,5,203,18,0,158,Tons,"1,285","6,592",31,2,20,Tons,"2,100",2
262019,"Slag, ash and residues containing mainly zinc (excl. hard zinc spelter)", , , ,4, , , ,5,"1,922",35,0,"1,902",Tons,"1,011","14,784",17,2,125,Tons,"1,864",
262029,"Slag, ash and residues containing mainly lead (excl. leaded gasoline sludges and leaded anti-knock . . .", , , ,4, , , ,5,45, ,0,40,Tons,"1,125",174, ,0,215,Tons,279,
262030,"Slag, ash and residues containing mainly copper", , , ,4, , , ,5,"42,163",256,6,"19,868",Tons,"2,122","2,797",-6,0, ,Tons, ,
262040,"Slag, as and residues containing mainly aluminium", , , ,4, , , ,5,84,13,0,174,Tons,483,148,8,0,"5,842",Tons,233,
262099,"Slag, ash and residues, containing metals or metal compounds (excl. those from the manufacture . . .", , , ,3, , , ,45,48,-51,0,54,Tons,889,14,-38,0,"96,151",Tons,319,
262190,"Slag and ash, incl. seaweed ash ""kelp"" (excl. slag, incl. granulated, from the manufacture . . .", , , ,4, , , ,5,593,-25,0,"120,187",Tons,5,824,54,0,"538,595",Tons,25,
270111,"Anthracite, whether or not pulverised, non-agglomerated", , , ,5, , , ,0,"5,622",30,0,"139,870",Tons,40,"30,761",101,0,"25,989",Tons,405,
270112,"Bituminous coal, whether or not pulverised, non-agglomerated", , , ,3, , , ,0,"54,748",8,0,"1,131,884",Tons,48,"35,021", ,0,"405,152",Tons,131,
270119,"Coal, whether or not pulverised, non-agglomerated (excl. anthracite and bituminous coal)", , , ,5, , , ,0,"155,633",-5,0,"17,290,839",Tons,9,"445,229",26,1,"861,054",Tons,103,
270120,"Briquettes, ovoids and similar solid fuels manufactured from coal", , , ,5, , , ,0, , , , ,Tons, ,185,367,0,189,Tons,667,
270210,"Lignite, whether or not pulverised, non-agglomerated (excl. jet)", , , ,5, , , ,0,"15,873",-4,0,"1,376,555",Tons,12, , , ,59,Tons,153,
270220,Agglomerated lignite (excl. jet), , , ,5, , , ,0,508,-45,1,"67,798", ,7, , , ,80, ,"1,025",
270300,"Peat, incl. peat litter, whether or not agglomerated", , , ,5, , , ,3,"1,187",-14,0,"4,561",No quantity,260,89,62,0,"23,441",No quantity,228,
270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon", , , ,5, , , ,0,"29,794",-6,0,"50,687",Tons,588,"20,457",21,0,"310,411,740",Tons,0,
270500,"Coal gas, water gas, producer gas, lean gas and similar gases (excl. petroleum gases and other . . .", , , , , , , ,, , , , , , ,8,-33,0,0, , ,
270600,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not . . .", , , ,5, , , ,1,"7,565",13,2,"27,119",Tons,279,19,-65,0,230,Tons,"1,270",
270710,"Benzol ""benzene"" containing > 50% of benzene (excl. chemically defined)", , , ,5, , , ,0, , , , ,No quantity, ,92, ,0, ,No quantity, ,
270720,"Toluol ""toluene"" containing > 50% of toluene (excl. chemically defined)", , , , , , , ,, , , , , , ,3, ,0, , , ,
270730,"Xylol ""xylenes"" containing > 50% of xylenes (excl. chemically defined)", , , ,5, , , ,0,369,-11,0,375,Tons,984,"16,226",-8,0,0,Tons, ,
270740,Naphthalene containing > 50% of naphthalene (excl. chemically defined), , , ,5, , , ,0,735,-22,0,747,Tons,984,"2,438",-14,1,0,Tons, ,
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250°C by . . .", , , ,5, , , ,0,"8,966",-6,0,"24,397",Tons,368,"34,220",-46,0,"707,896",Tons,962,
270791,Creosote oils (excl. chemically defined), , , ,5, , , ,2,4, ,0,2,Tons,"2,000", , , ,0,Tons, ,
270799,Oils and other products of the distillation of high temperature coal tars; similar products . . ., , , ,5, , , ,8,"5,088",-19,0,"9,472",No quantity,537,"72,584",14,0,0,No quantity, ,
270810,Pitch obtained from coal tar or from other mineral tars, , , ,5, , , ,0,"94,468",2,6,"91,981",Tons,"1,027",814,-14,0,"179,140",Tons,"1,104",
270820,Pitch coke obtained from coal tar or from other mineral tars, , , ,3, , , ,0,"1,511",-55,0,969,Tons,"1,559",436,-22,0, ,Tons, ,
270900,"Petroleum oils and oils obtained from bituminous minerals, crude", , , ,1, , , ,0,"20,117",-3,0,"48,084",No quantity,418,"134,395,288",16,9,"665,110",No quantity,"1,008",
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume ""incl. . . .", , , ,5, , , ,200,"13,888",-24,0,0,No quantity, ,"26,346,240",16,7,0,No quantity, ,
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, . . .", , , ,5, , , ,666,"1,332,049",1,0,0,No quantity, ,"32,657,216",13,4,0,No quantity, ,
271020,Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations . . ., , , ,5, , , ,204,293,8,0,62,Tons,"4,726","117,020",-26,1,192,Tons,"1,703",
271091,"Waste oils containing polychlorinated biphenyls [PCBs], polychlorinated terphenyls [PCTs] or . . .", , , ,5, , , ,3, , , , ,No quantity, ,72,5,1,0,No quantity, ,
271099,Waste oils containing mainly petroleum or bituminous minerals (excl. those containing polychlorinated . . ., , , ,5, , , ,2,328,-22,0,"5,116",No quantity,64,"1,739",5,1,"4,109",No quantity,119,
271111,"Natural gas, liquefied", , , ,5, , , ,2, , , , ,No quantity, ,"6,537,518",21,3,"20,000",No quantity,209,
271112,"Propane, liquefied", , , ,5, , , ,18,"2,810",14,0,0,Tons, ,"6,146,588",12,12,508,Tons,758,
271113,"Butanes, liquefied (excl. of a purity of >= 95% of N-butane or isobutane)", , , ,5, , , ,12,"12,328",-5,0,"5,136",Tons,"2,400","4,642,232",13,17,570,Tons,"2,325",
271114,"Ethylene, propylene, butylene and butadiene, liquefied (excl. ethylene of a purity of >= 95% . . .", , , ,3, , , ,6,"5,407",-9,0,"21,959",No quantity,246,3,-92,0, ,No quantity, ,
271119,"Gaseous hydrocarbons, liquefied, n.e.s. (excl. natural gas, propane, butane, ethylene, propylene, . . .", , , ,5, , , ,3,"8,010",-7,0,"16,644",Tons,481,"58,247",-32,1,26,Tons,"5,577",
271121,Natural gas in gaseous state, , , ,0, , , ,2,"188,624",-36,0,"144,186",No quantity,"1,308",63,39,0, ,No quantity, ,
271129,"Hydrocarbons in gaseous state, n.e.s. (excl. natural gas)", , , ,5, , , ,2,"3,387",-3,1,"55,157",Tons,61,48,-20,0,9,Tons,"23,111",
271210,Petroleum jelly, , , ,5, , , ,0,"2,824",3,1,"1,099",Tons,"2,570","21,932",21,5,"3,101",Tons,"2,041",99
271220,"Paraffin wax containing < 0,75% by weight of oil", , , ,5, , , ,6,"1,402",-12,0,501,Tons,"2,798","3,736",32,0,"23,063",Tons,383,3
271290,"Paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, . . .", , , ,5, , , ,0,"2,530",-15,0,950,Tons,"2,663","85,767",28,4,"1,813",Tons,"2,175",11
271311,"Petroleum coke, non-calcined", , , ,3, , , ,0,"49,993",10,0,"117,266",Tons,426,"136,244",93,1,"249,939",Tons,210,
271312,"Petroleum coke, calcined", , , ,2, , , ,0,"85,584",-23,1,"86,449",Tons,990,338,-19,0,"542,173",Tons,753,
271320,Petroleum bitumen, , , ,5, , , ,7,318,13,0,446,Tons,713,"1,087,537",37,7,"6,107",Tons,378,
271390,Residues of petroleum oil or of oil obtained from bituminous minerals (excl. petroleum coke . . ., , , ,5, , , ,14,"17,253",-17,3,"22,875",No quantity,754,"15,782",144,1,19,No quantity,"1,316",
271410,Bituminous or oil-shale and tar sands, , , , , , , ,, , , , , , ,"3,139",-17,12, , , ,
271490,"Bitumen and asphalt, natural; asphaltites and asphaltic rocks", , , ,5, , , ,1,326,2,0,290,Tons,"1,124","51,811",-8,12,"1,806",Tons,475,
271500,"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural . . .", , , ,5, , , ,0,"2,904",-19,0,"1,984",Tons,"1,464","9,530",-12,0,539,Tons,"1,766",
271600,Electrical energy, , , ,0, , , ,2,"81,313",0,0,0,No quantity, , , , ,0,No quantity, ,-
280110,Chlorine, , , ,6, , , ,2, , , , ,Tons, ,6,9,0,617,Tons,279,-
280120,Iodine, , , ,5, , , ,2,"15,957",1,1,193,Tons,"82,679","18,148",24,1,25,Tons,"52,400",-
280130,Fluorine; bromine, , , ,5, , , ,4,199,181,0,24,Tons,"8,292", , , ,89,Tons,"1,303",
280200,"Sulphur, sublimed or precipitated; colloidal sulphur", , , ,5, , , ,2,"1,707",-7,2,"2,518",Tons,678,"1,450",-73,1,165,Tons,"1,279",
280300,"Carbon ""carbon blacks and other forms of carbon"", n.e.s.", , , ,5, , , ,3,"5,897",0,0,"1,612",Tons,"3,658","50,928",26,1,"39,493",Tons,"1,832",-
280410,Hydrogen, , , ,5, , , ,2,4,-28,0,0,No quantity, ,"1,759",14,1,0,No quantity, ,-
280421,Argon, , , ,5, , , ,2,590,-11,0,"5,540",Tons,106,"2,981",17,1,"1,627",Tons,374,5
280429,Rare gases (excl. argon), , , ,5, , , ,4,"11,888",41,0,0,No quantity, ,"22,083",-11,1,0,No quantity, ,243
280430,Nitrogen, , , ,5, , , ,2,606,-27,0,0,No quantity, ,278,-10,0,0,No quantity, ,6
280440,Oxygen, , , ,5, , , ,2,465,2,0,"3,448",No quantity,135,"1,226",60,0,0,No quantity, ,9
280450,Boron; tellurium, , , , , , , ,,164,17,0,1,Tons,"164,000", , , , ,Tons, ,
280461,"Silicon containing >= 99,99% by weight of silicon", , , ,5, , , ,2,"2,214",-43,0,27,Tons,"82,000",1,-70,0,9,Tons,"6,333",
280469,"Silicon containing < 99,99% by weight of silicon", , , ,5, , , ,2,"20,615",23,0,"6,683",Tons,"3,085",260,20,0,"64,017",Tons,"3,217",
280470,Phosphorus, , , ,5, , , ,8,"2,111",3,0,241,Tons,"8,759","4,759",-19,0,142,Tons,"10,655",
280490,Selenium, , , ,4, , , ,2,35,-27,0,1,Tons,"35,000",39,-44,0,7,Tons,"23,143",
280511,Sodium, , , ,5, , , ,2,766,6,1,308,No quantity,"2,487", , , ,13,No quantity,"3,231",
280512,Calcium, , , ,5, , , ,2,"8,446",16,3,"1,799",Tons,"4,695",143,117,0,"1,506",Tons,"4,225",5
280519,Alkali or alkaline-earth metals (excl. sodium and calcium), , , ,5, , , ,6,321,-1,0,26,Tons,"12,346", , , ,57,Tons,"5,456",
280530,"Rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed", , , ,5, , , ,4,"2,873",40,0,217,Tons,"13,240", , , ,116,Tons,"4,328",
280540,Mercury, , , ,5, , , ,8,348,159,1,4,No quantity,"87,000","2,086",21,8,383,No quantity,"25,603",
280610,"Hydrogen chloride ""hydrochloric acid""", , , ,5, , , ,11,540,-16,0,"1,818",Tons,297,241,16,0,400,Tons,548,1
280620,Chlorosulphuric acid, , , , , , , ,,7,-5,0,0, , , , , , , , ,
280700,Sulphuric acid; oleum, , , ,5, , , ,22,560,1,0,"7,145",Tons,78,"2,886",143,0,246,Tons,248,-
280800,Nitric acid; sulphonitric acids, , , ,5, , , ,2,50,-30,0,51,Tons,980,74,-10,0,"2,792",Tons,620,
280910,Diphosphorus pentaoxide, , , ,5, , , ,2,533,58,0,161,Tons,"3,311", , , ,66,Tons,"3,682",
280920,"Phosphoric acid; polyphosphoric acids, whether or not chemically defined", , , ,5, , , ,28,"34,534",18,0,"26,423",Tons,"1,307","6,060",52,0,"10,202",Tons,"1,719",6
281000,Oxides of boron; boric acids, , , ,5, , , ,4,"1,148",85,0,"1,078",Tons,"1,065",1,138,0,"3,385",Tons,"1,129",1
281111,"Hydrogen fluoride ""hydrofluoric acid""", , , ,5, , , ,2,231,-34,0,89,Tons,"2,596",1,-27,0,433,Tons,"1,709",
281119,"Inorganic acids (excl. hydrogen chloride ""hydrochloric acid"", chlorosulphuric acid, sulphuric . . .", , , ,5, , , ,6,"3,426",18,0,"1,276",Tons,"2,685", , , ,903,Tons,"1,780",
281121,Carbon dioxide, , , ,5, , , ,2,"1,096",-1,0,"3,687",Tons,297,184,56,0,"17,364",Tons,125,1
281122,Silicon dioxide, , , ,2, , , ,2,"74,004",11,2,"39,256",Tons,"1,885",423,47,0,"42,822",Tons,765,46
281129,"Inorganic oxygen compounds of non-metals (excl. diphosphorus pentaoxide, oxides of boron, carbon . . .", , , ,5, , , ,40,"1,857",4,0,899,Tons,"2,066","1,473",10,0,"1,058",Tons,"2,889",6
281212,Phosphorus oxychloride, , , , , , , ,,35,83,0,7, ,"5,000", , , , , , ,
281213,Phosphorus trichloride, , , , , , , ,,56,138,0,20,Tons,"2,800", , , , ,Tons, ,
281214,Phosphorus pentachloride, , , , , , , ,,90,160,6,22, ,"4,091", , , , , , ,
281217,Thionyl chloride, , , , , , , ,,10,30,0,12, ,833, , , , , , ,
281219,"Chlorides and chloride oxides (excl. carbonyl dichloride ""phosgene"", phosphorus oxy-, tri- . . .", , , ,5, , , ,108,54,-12,0,34,Tons,"1,588", , , ,0,Tons, ,
281290,Halides and halide oxides of non-metals (excl. chlorides and chloride oxides), , , ,0, , , ,3,"1,936",17,0,176,Tons,"11,000", , , ,210,Tons,"7,776",
281310,Carbon disulphide, , , ,5, , , ,2,2,-35,0,2,Tons,"1,000", , , ,50,Tons,"1,080",
281390,Sulphides of non-metals (excl. carbon disulphide); commercial phosphorus trisulphide, , , , , , , ,,"10,970",40,8,"3,160", ,"3,472", , , , , , ,
281410,Anhydrous ammonia, , , ,5, , , ,2, , , , ,Tons, ,"43,701",8,0,"34,461",Tons,"1,142",-
281420,Ammonia in aqueous solution, , , ,5, , , ,2,88,-8,0,38,Tons,"2,316",14,16,0,"2,214",Tons,410,-
281511,"Sodium hydroxide ""caustic soda"" solid", , , ,6, , , ,2,"13,793",-11,1,"21,998",Tons,627,"19,402",34,2,"2,386",Tons,694,110
281512,"Sodium hydroxide ""caustic soda"" in aqueous solution ""soda lye or liquid soda""", , , ,6, , , ,2,295,-19,0,0,No quantity, ,"10,354",11,0,216,No quantity,671,1
281520,"Potassium hydroxide ""caustic potash""", , , ,6, , , ,2,"4,361",-1,0,"2,899",No quantity,"1,504",31,-16,0,"3,957",No quantity,"1,418",4
281530,Peroxides of sodium or potassium, , , ,6, , , ,2,590,-16,4,27,Tons,"21,852",1,-53,0,0,Tons, ,
281610,Hydroxide and peroxide of magnesium, , , ,5, , , ,2,761,4,0,85,Tons,"8,953", , , ,"2,397",Tons,575,4
281640,"Oxides, hydroxides and peroxides, of strontium or barium", , , ,5, , , ,2,84,-9,0,53,No quantity,"1,585", , , ,109,No quantity,"1,706",
281700,Zinc oxide; zinc peroxide, , , ,5, , , ,2,"7,769",-5,0,"3,389",Tons,"2,292",690,64,0,"2,001",Tons,"1,568",1
281810,"Corundum, artificial, whether or not chemically defined", , , ,5, , , ,8,"36,991",2,2,"28,043",Tons,"1,319",38,-35,0,"49,448",Tons,662,
281820,Aluminium oxide (excl. artificial corundum), , , ,0, , , ,4,"1,334,442",5,8,"3,019,583",Tons,442,45,-30,0,"3,037,023",Tons,386,90
281830,Aluminium hydroxide, , , ,5, , , ,2,"2,262",-32,0,"1,763",Tons,"1,283","7,183",76,0,"9,449",Tons,871,4
281910,Chromium trioxide, , , ,5, , , ,2,"4,854",-7,2,"2,195",Tons,"2,211",50,48,0,315,Tons,"3,632",-
281990,Chromium oxides and hydroxides (excl. chromium trioxide), , , ,5, , , ,4,"3,212",5,1,859,Tons,"3,739",14,23,0,176,Tons,"10,955",-
282010,Manganese dioxide, , , ,5, , , ,2,"4,004",20,1,"3,236",Tons,"1,237", , , ,31,Tons,"1,452",
282090,Manganese oxides (excl. manganese dioxide), , , ,5, , , ,4,"8,805",3,5,"12,449",Tons,707,30,-16,0,"17,437",Tons,664,81
282110,Iron oxides and hydroxides, , , ,5, , , ,2,"30,264",16,2,"24,495",Tons,"1,236",971,14,0,"6,282",Tons,"1,089",21
282120,Earth colours containing >= 70% by weight of combined iron evaluated as Fe2O3, , , ,5, , , ,2,238,36,2,0,Tons, , , , ,65,Tons,615,
282200,Cobalt oxides and hydroxides; commercial cobalt oxides, , , ,5, , , ,2,"4,164",59,0,121,No quantity,"34,413",152,126,0,"26,094",No quantity,"12,513",
282300,Titanium oxides, , , ,5, , , ,2,"2,263",-7,0,437,Tons,"5,178",499,29,0,949,Tons,"3,130",2
282410,"Lead monoxide ""litharge, massicot""", , , ,5, , , ,2,680,8,1,183,Tons,"3,716",609,218,1,125,Tons,"2,576",
282490,"Lead oxides (excl. monoxide ""litharge, massicot"")", , , ,5, , , ,4,24,-55,0,0,Tons, ,267,17,0,"2,751",Tons,"2,431",
282510,Hydrazine and hydroxylamine and their inorganic salts, , , ,5, , , ,2,"6,225",15,1,"1,054",Tons,"5,906",6,-61,0,"1,084",Tons,"4,982",1
282520,Lithium oxide and hydroxide, , , ,5, , , ,2,"2,872",126,0,50,Tons,"57,440","10,024",377,0,341,Tons,"40,358",2
282530,Vanadium oxides and hydroxides, , , ,5, , , ,2,"6,844",26,1,293,Tons,"23,358","1,503",-18,0,20,Tons,"20,200",2
282540,Nickel oxides and hydroxides, , , , , , , ,,125,-33,0,9,Tons,"13,889", , , , ,Tons, ,
282550,Copper oxides and hydroxides, , , ,5, , , ,2,"1,605",65,0,153,Tons,"10,490",102,-42,0,288,Tons,"7,705",1
282560,Germanium oxides and zirconium dioxide, , , ,0, , , ,2,"2,539",3,1,276,Tons,"9,199",29,76,0,0,Tons, ,
282570,Molybdenum oxides and hydroxides, , , ,0, , , ,2,"33,299",18,7,"1,203", ,"27,680", , , ,43, ,"16,442",
282580,Antimony oxides, , , ,5, , , ,2,"18,585",27,2,"1,723",Tons,"10,786", , , ,145,Tons,"10,421",
282590,"Bases, inorganic, and metal oxides, hydroxides and peroxides, n.e.s.", , , ,5, , , ,12,"6,092",21,0,"1,746",Tons,"3,489","9,988",200,1,463,Tons,"1,784",
282612,Fluoride of aluminium, , , ,0, , , ,3,"21,695",-22,2,"15,326",Tons,"1,416","23,233",7,8,"9,495",Tons,"1,386","1,663"
282619,Fluorides (excl. of aluminium and mercury), , , ,5, , , ,6,"1,454",-2,0,"1,293",Tons,"1,125",1,0,0,52,Tons,"1,962",
282630,"Sodium hexafluoroaluminate ""synthetic cryolite""", , , ,6, , , ,3,832,-3,1,876,Tons,950,"1,185",-36,3,"5,631",Tons,970,20
282690,"Fluorosilicates, fluoroaluminates and other complex fluorine salts (excl. sodium hexafluoroaluminate . . .", , , ,5, , , ,6,"2,502",4,0,"1,241",Tons,"2,016","1,729", ,0,651,Tons,"1,235",
282710,Ammonium chloride, , , ,5, , , ,2,"1,508",27,1,"4,175",Tons,361,77, ,0,"1,440",Tons,342,
282720,Calcium chloride, , , ,5, , , ,2,"8,132",19,1,"23,607",Tons,344,814,-9,0,0,Tons, ,5
282731,Magnesium chloride, , , ,5, , , ,2,"3,905",-19,2,"3,725",Tons,"1,048",14,618,0,"1,281",Tons,935,4
282732,Aluminium chloride, , , ,5, , , ,4,"2,869",-6,1,"2,795",Tons,"1,026",60,23,0,"3,949",Tons,481,
282735,Nickel chloride, , , ,5, , , ,2,632,16,1,77,No quantity,"8,208", , , ,11,No quantity,"6,818",
282739,"Chlorides (excl. ammonium, calcium, magnesium, aluminium, nickel and mercury chloride)", , , ,5, , , ,8,"19,625",7,2,"9,861",Tons,"1,990","2,268",214,0,"13,938",Tons,216,
282741,Chloride oxides and chloride hydroxides of copper, , , ,5, , , ,2,748,116,1,104, ,"7,192", , , ,18, ,"3,056",
282749,Chloride oxides and chloride hydroxides (excl. copper and mercury), , , ,5, , , ,4,"7,008",10,2,"2,312",Tons,"3,031",23,17,0,538,Tons,"1,184",
282751,Bromides of sodium or of potassium, , , ,5, , , ,2,379,-25,0,76,Tons,"4,987",11,-41,0,"12,795",Tons,"1,890",10
282759,"Bromides and bromide oxides (excl. of sodium, potassium and mercury)", , , ,5, , , ,2,"2,880",-22,0,760,Tons,"3,789",984,-41,0,"12,663",Tons,"2,096",-
282760,Iodides and iodide oxides (excl. inorganic or organic compounds of mercury), , , ,5, , , ,2,248,-39,0,0,Tons, ,1,-74,0,72,Tons,"48,250",
282810,"Calcium hypochlorites, incl. commercial calcium hypochlorite", , , ,5, , , ,3,"20,926",-7,6,"18,248",Tons,"1,147",190,61,0,"3,978",Tons,"1,526",14
282890,"Hypochlorites, chlorites and hypobromites (excl. calcium hypochlorites)", , , ,5, , , ,3,"2,151",-6,1,"3,259",Tons,660,48,-34,0,"3,792",Tons,938,7
282911,Chlorate of sodium, , , ,5, , , ,29,"21,673",67,5,"44,243",Tons,490,136, ,0, ,Tons, ,
282919,Chlorates (excl. sodium), , , ,5, , , ,29,"1,385",7,4,948,Tons,"1,461", , , ,0,Tons, ,
282990,Perchlorates; bromates and perbromates; iodates and periodates (excl. inorganic or organic . . ., , , ,5, , , ,87,"1,686",-3,1,192,Tons,"8,781",12,74,0,103,Tons,"4,369",
283010,Sodium sulphides, , , ,5, , , ,2,"18,108",1,4,"28,765",Tons,630,863,29,0, ,Tons, ,
283090,"Sulphides (excl. sodium); polysulphides, whether or not chemically defined (excl. inorganic . . .", , , ,5, , , ,6,"3,602",25,1,216,No quantity,"16,676",10,-46,0,134,No quantity,"5,299",
283110,Dithionite and sulfoxylate of sodium, , , ,5, , , ,2,"8,056",-4,2,"5,132",Tons,"1,570","7,186",11,2,"2,556",Tons,"1,556",13
283190,Dithionites and sulfoxylates (excl. sodium), , , ,5, , , ,2,80,-6,0,20,Tons,"4,000",11, ,0,12,Tons,"4,667",
283210,Sodium sulphites, , , ,5, , , ,28,"5,175",6,1,"9,768",Tons,530,"1,661",28,0,"4,144",Tons,559,7
283220,Sulphites (excl. sodium), , , ,5, , , ,28,"1,055",13,1,590,Tons,"1,788",14,-1,0,"2,612",Tons,605,12
283230,Thiosulphates, , , ,5, , , ,28,"1,212",34,1,"1,450",Tons,836,32, ,0,"1,222",Tons,601,1
283311,Disodium sulphate, , , ,5, , , ,2,113,-13,0,263,Tons,430,123,8,0,"32,551",Tons,108,-
283319,Sodium sulphates (excl. disodium), , , ,5, , , ,2,739,21,0,364,Tons,"2,030",302,-20,1,"1,575",Tons,267,3
283321,Sulphate of magnesium, , , ,5, , , ,2,973,-11,0,"2,055",Tons,473,96,5,0,"3,221",Tons,950,1
283322,Sulphate of aluminium, , , ,5, , , ,2,696,4,0,"1,560",Tons,446,48,114,0,"4,362",Tons,287,1
283324,Sulphates of nickel, , , ,5, , , ,2,"1,310",85,0,175,Tons,"7,486", , , ,14,Tons,"6,643",
283325,Sulphates of copper, , , ,5, , , ,2,"1,371",-18,0,306,No quantity,"4,480", , , ,67,No quantity,"2,970",
283327,Sulphate of barium, , , ,5, , , ,2,"3,011",21,2,"4,805",Tons,627, , , ,"1,102",Tons,924,
283329,"Sulphates (excl. of sodium, magnesium, aluminium, nickel, copper, barium and mercury)", , , ,5, , , ,12,"19,510",4,1,"30,706",Tons,635,120,-54,0,"4,034",Tons,"1,242",
283330,Alums, , , ,5, , , ,2,80,-11,0,22,Tons,"3,636",14,24,0,446,Tons,372,
283340,"Peroxosulphates ""persulphates""", , , ,5, , , ,2,"4,027",12,2,"2,712",Tons,"1,485",25, ,0,"2,008",Tons,"1,389",
283410,Nitrites, , , ,5, , , ,28,23,-35,0,28,Tons,821,8,-35,0,"1,874",Tons,893,-
283421,Nitrate of potassium, , , ,5, , , ,28,822,-35,0,896,Tons,917,65,4,0,"34,427",Tons,622,2
283429,Nitrates (excl. of potassium and of mercury), , , ,5, , , ,84,"3,545",-9,1,"2,366",Tons,"1,498",253,14,0,832,Tons,"1,365",
283510,"Phosphinates ""hypophosphites"" and phosphonates ""phosphites""", , , ,5, , , ,28,"4,660",25,1,976,Tons,"4,775",125,16,0,916,Tons,"1,535",-
283522,Mono- or disodium phosphate, , , ,5, , , ,2,"1,406",30,1,452,Tons,"3,111", , , ,302,Tons,"2,474",
283524,Phosphates of potassium, , , ,5, , , ,2,"6,848",-10,1,"3,065",Tons,"2,234",5,-57,0,"2,587",Tons,"2,015",
283525,"Calcium hydrogenorthophosphate ""dicalcium phosphate""", , , ,5, , , ,2,"4,225",31,1,"1,495",Tons,"2,826", , , ,"1,625",Tons,"1,489",
283526,"Phosphates of calcium (excl. calcium hydrogenorthophosphate ""dicalcium phosphate"")", , , ,5, , , ,28,"4,940",24,0,"7,835",Tons,631,1,-70,0,"8,307",Tons,"1,069",
283529,"Phosphates (excl. phosphates of monosodium, disodium, potassium, calcium and mercury)", , , ,5, , , ,84,"6,808",10,2,"3,446",Tons,"1,976",10,109,0,"1,108",Tons,"1,535",4
283531,"Sodium triphosphate ""sodium tripolyphosphate"", whether or not chemically defined", , , ,5, , , ,28,"12,095",0,2,"9,063",Tons,"1,335","7,368",13,1,"2,185",Tons,"1,427",9
283539,"Polyphosphates, whether or not chemically defined (excl. sodium triphosphate ""sodium tripolyphosphate"", . . .", , , ,5, , , ,28,"46,978",19,4,"17,909",Tons,"2,623",163,25,0,"2,767",Tons,"2,568",
283620,Disodium carbonate, , , ,5, , , ,2,"2,127",30,0,"5,170",Tons,411,"38,337",210,1,"190,252",Tons,360,7
283630,"Sodium hydrogencarbonate ""sodium bicarbonate""", , , ,5, , , ,7,"2,872",6,0,"1,348",Tons,"2,131","1,152",45,0,"10,012",Tons,434,8
283640,Potassium carbonates, , , ,5, , , ,28,"1,727",20,0,"1,067",Tons,"1,619",56,-43,0,"2,677",Tons,"1,451",1
283650,Calcium carbonate, , , ,5, , , ,2,"15,338",-2,1,"134,802",Tons,114,"5,960",18,1,"5,832",Tons,347,40
283660,Barium carbonate, , , ,5, , , ,2,"4,554",18,2,"7,452",Tons,611,12,158,0,"3,010",Tons,657,
283691,Lithium carbonates, , , ,5, , , ,2,"138,827",23,1,"5,761",Tons,"24,098", , , ,937,Tons,"1,511",
283692,Strontium carbonate, , , ,5, , , ,2,827,31,1,440,No quantity,"1,880","1,454", ,6,0,No quantity, ,
283699,"Carbonates and peroxocarbonates ""percarbonates""; commercial ammonium carbonate containing ammonium . . .", , , ,5, , , ,6,"17,185",33,2,"8,963",Tons,"1,917",273,104,0,"10,063",Tons,994,2
283711,Sodium cyanide, , , , , , , ,,"12,857",-22,1,"6,951",Tons,"1,850", , , , ,Tons, ,
283719,Cyanides and cyanide oxides (excl. sodium and mercury), , , ,5, , , ,4,1,-57,0,0,Tons, , , , ,25,Tons,"9,040",
283720,Complex cyanides (excl. inorganic or organic compounds of mercury), , , ,5, , , ,2,"1,023",77,2,358,Tons,"2,858", , , ,0,Tons, ,
283911,"Metasilicates of sodium, incl. commercial metasilicates", , , ,5, , , ,2,"1,945",2,2,"3,373",Tons,577,14,5,0,485,Tons,482,
